acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
0.0000000000;0.5021160181;9.6652475616;0.6775135168;-0.1263629484;-0.4993155148;15.2500000000;-2.1875000000;-48.8750000000
0.0297237346;0.5107852256;9.8529482648;0.0629767025;-0.9224885100;0.3719280056;16.0625000000;-2.5625000000;-48.0625000000
0.0101698139;0.4652964703;9.5390036682;-1.5914956286;0.0636106238;0.6273356767;16.3750000000;-3.0000000000;-47.6875000000
0.0000000000;0.3986786792;9.9457279254;-0.4994434006;1.0173314079;0.0628809383;16.0625000000;-2.5625000000;-48.0625000000
-0.0305244504;0.4397223846;9.9185455123;1.4324391463;0.0000000000;-0.1246821623;16.0625000000;-2.1875000000;-48.8750000000
-0.0099064913;0.3938954891;9.8842663396;0.2475769743;-1.0426617258;-0.4288364755;16.0625000000;-2.1875000000;-48.8750000000
0.0303132824;0.6069686648;9.8660842874;-0.9866743372;0.0622019249;-1.1237808767;15.6875000000;-1.7500000000;-48.0625000000
0.0203114883;0.4163823950;9.8062893135;1.1451999568;-0.0631735497;-0.0636386330;17.1875000000;-2.5625000000;-47.2500000000
0.0304021201;0.4279561721;10.0020722783;-1.3889653859;-0.0629518311;0.1240626647;16.0625000000;-2.5625000000;-47.6875000000
0.0405391138;0.4639099635;10.0148161358;0.6169293265;-0.3699335724;0.3167002177;15.6875000000;-2.1875000000;-49.2500000000
0.0000000000;0.4382360078;9.8962587716;-0.9554129761;-1.8179606586;0.1890471729;15.6875000000;-2.1875000000;-49.2500000000
-0.0893714071;0.3539127554;9.9558669656;0.8830204859;-0.9229472155;-0.3791621966;16.0625000000;-2.1875000000;-48.8750000000
-0.0393844586;0.5468031252;10.3407277872;1.7396389255;-6.7359831038;-0.6930107042;16.3750000000;-2.5625000000;-46.8750000000
0.1960657510;0.5431378755;9.7432628118;-2.7024685714;-9.2847517808;0.1894211349;15.6875000000;-2.5625000000;-47.6875000000
0.1688307614;0.3256069184;9.5461574625;1.7884911536;-7.2296216371;0.3178096945;15.6875000000;-2.1875000000;-47.2500000000
0.0593619592;0.6959376542;9.8506890988;1.1348942944;-4.9158258044;-0.3149622223;15.6875000000;-2.1875000000;-47.2500000000
0.2922193802;0.4612935160;9.8217159731;0.8868983623;-8.2857241139;0.5084605183;15.6875000000;-3.0000000000;-48.0625000000
0.3368963514;0.4462953897;9.9396761082;-0.9265139028;-7.1325421505;0.9855595880;15.2500000000;-2.1875000000;-47.2500000000
