acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-9.5626130094;-1.3959269431;-0.0504483860;-0.6207190377;-0.9483505827;1.6964436279;46.5625000000;-5.8750000000;-9.2500000000
-9.5079977365;-1.5205740105;-0.1872722456;-2.5950031802;-1.0821166514;1.2335024947;46.2500000000;-4.7500000000;-10.0000000000
-9.4267664293;-1.5286432921;-0.2676146812;-1.3318148347;0.4402811951;0.6860951169;47.0000000000;-6.2500000000;-10.0000000000
-9.6727130834;-1.4904113600;-0.1313445889;0.8770760951;0.9429793853;0.0000000000;47.0000000000;-6.2500000000;-10.0000000000
-9.4597202706;-1.4401390513;-0.2582579137;3.4268701856;0.2458363686;-0.0617724455;46.5625000000;-5.5625000000;-8.8750000000
-9.3880744226;-1.5360875982;-0.1179878277;-0.9948884200;1.3750595620;0.0618090636;47.0000000000;-5.8750000000;-9.2500000000
-9.4690633590;-1.5901857621;-0.0402795109;-2.5336694604;-0.3805960947;-0.9554417071;46.2500000000;-5.1875000000;-8.8750000000
-9.5855364755;-1.3717763627;-0.1832502695;3.0851033235;-0.9223227401;-1.7500663170;45.5000000000;-4.7500000000;-10.0000000000
-9.5483106094;-1.3903068319;-0.1569300813;-2.8856572016;-0.3070857849;2.2147861783;45.5000000000;-4.7500000000;-10.0000000000
-9.5191981493;-1.6107648925;-0.1800947926;0.6161615036;-0.9403778405;-0.0625557037;46.2500000000;-5.8750000000;-9.2500000000
-9.5864233570;-1.1443672844;-0.0798087484;2.8670245048;-1.3052966464;0.6306498634;46.2500000000;-7.0000000000;-9.2500000000
-9.6476480113;-1.5713853191;-0.3258136243;-4.5657506593;-1.1323163591;3.5471752112;47.0000000000;-5.1875000000;-11.1875000000
-9.7491024896;-1.4547844120;-0.0203309097;1.5053765314;-0.2536313904;0.6179231931;46.2500000000;-5.1875000000;-10.8750000000
-9.7028365187;-1.3320509946;-0.3490916301;2.5105142245;-2.0465465825;2.2160607506;46.2500000000;-5.1875000000;-10.8750000000
-9.5479892727;-1.6222725535;-0.4229376758;-2.5880350354;0.3099777662;3.5278002091;45.8750000000;-5.5625000000;-9.6875000000
-9.6798110169;-1.2131760826;-0.7822450803;2.4534759844;3.0554202285;3.4413463889;46.5625000000;-7.7500000000;-9.6875000000
-9.9054211202;-1.3168197430;-1.6465762140;-8.9459973517;7.2105348100;6.6839221838;45.8750000000;-6.5625000000;-8.5000000000
-10.1305805759;-1.2548168705;-2.3043866060;-11.2163922297;18.6083705937;7.6944260908;45.8750000000;-5.5625000000;-8.8750000000
-10.2026589527;-1.1612956257;-2.7049849509;-0.4957490329;31.3476216451;14.9082629987;45.8750000000;-5.5625000000;-8.8750000000
-10.4962777222;-0.8061388588;-3.2579972086;-12.0570384218;38.9453679385;15.7731546660;46.5625000000;-5.8750000000;-8.5000000000
-10.7084714987;-1.4510118743;-5.2950652312;-23.3544384313;52.2228852872;24.2066225972;46.5625000000;-7.3750000000;-7.6875000000
-11.1560088385;-1.6537375834;-4.4847091227;-3.4684786506;88.5186381188;16.0174258460;47.0000000000;-7.7500000000;-5.6875000000
-11.2704206865;-1.0881557611;-3.8141344871;6.4354440861;84.0082281958;10.3638763322;47.0000000000;-9.2500000000;-3.0000000000
-11.1002279369;-0.9185710669;-4.4004778793;17.3885310837;79.5814586075;17.2099989431;47.0000000000;-9.2500000000;-3.0000000000
-10.9707657284;-0.6518758559;-4.4315192021;25.4374906905;92.3512836974;13.5424133385;47.7500000000;-10.6875000000;0.5625000000
-10.7601549782;-0.3838283440;-4.6482148501;9.5886119507;97.9472344004;16.0640455028;47.7500000000;-10.6875000000;4.5000000000
-10.4620884266;-1.4069575216;-5.8380176781;1.4015223510;105.2413650491;22.7215819447;46.0625000000;-11.7500000000;7.5000000000
-10.1263931184;-1.7542453771;-4.5779488865;28.3343538712;112.6263959425;3.4388256827;46.0625000000;-13.2500000000;12.6875000000
-9.9189896363;-0.9722521150;-4.6925332764;30.3914459485;94.7143842130;-11.2821128131;46.0625000000;-13.2500000000;12.6875000000
-9.3143937752;-1.5292017568;-5.9096234905;30.9848162710;94.4912909287;-4.1034851189;45.0625000000;-12.5000000000;14.8750000000
-9.2153589543;-0.7436711311;-6.0318361116;34.6917164809;100.8949702952;-13.1910104642;43.5000000000;-12.0625000000;18.5000000000
-8.4128580772;-1.2075423059;-7.5103321530;19.1805602770;101.0350995743;-4.0607554803;41.8750000000;-10.5625000000;23.1875000000
-8.2560258721;-2.1860640204;-7.4822977962;3.8516348973;105.3520616013;-8.1179106617;39.5625000000;-10.2500000000;26.7500000000
-8.0180514362;-1.6640944042;-7.0325446859;28.8383382270;102.7506921737;-22.4388115525;39.5625000000;-10.2500000000;26.7500000000
-6.7101219880;-1.0713007506;-7.1010764130;29.0535826275;97.2221819113;-25.4946994020;37.3750000000;-11.0000000000;30.1875000000
-5.8059387704;-0.4617543198;-7.0698255893;12.0013614651;92.7989900167;-17.6247463309;35.0625000000;-9.8750000000;33.0000000000
-5.2301964241;-1.7400485626;-6.4770679819;-17.9116209948;83.9397700666;-8.1692641662;32.5000000000;-6.8750000000;35.1875000000
-4.4617199841;-0.6457661499;-7.2361479064;25.9011494947;82.4281339782;-13.4694533190;29.0625000000;-8.7500000000;37.5625000000
-3.6899861381;-0.0406865010;-7.5506640122;-10.0597197994;86.4288278521;-5.1984593161;29.0625000000;-8.7500000000;37.5625000000
-3.0690127285;-2.3305606679;-7.5510081531;-32.8907370343;85.1173934223;-1.6215553228;25.6875000000;-7.6875000000;39.5625000000
-2.8551271004;0.0807504994;-8.4241334800;7.9013802709;53.9584181860;-22.7650537949;22.6875000000;-7.6875000000;40.6875000000
-2.1139784354;0.4226644783;-7.4191199222;-35.3065428463;74.9725986447;-1.7698900128;20.0000000000;-7.8750000000;42.3750000000
-1.3856517066;-0.5447575788;-7.6371542066;-26.5353906052;81.8307534830;12.3781328944;17.3750000000;-8.2500000000;42.7500000000
-0.7339434420;-1.0651473198;-8.9819135809;41.4084180526;83.2334846860;22.7601902869;17.3750000000;-8.2500000000;42.7500000000
-0.8178973437;-1.3301120345;-7.7751561754;37.3111834218;75.6466198470;20.5664940876;14.0000000000;-9.7500000000;44.5000000000
-0.3620573111;-1.8962254672;-8.3603155925;-34.8034381725;23.5809644648;11.8395313275;11.3750000000;-7.1875000000;44.0625000000
0.0000000000;-1.7298400509;-9.6843292842;-17.5010428035;28.6406649053;12.8522712701;9.0625000000;-6.7500000000;44.5000000000
-0.0812012174;-1.8926099167;-9.1722911456;9.2049082909;39.7403424450;12.8946199954;7.0625000000;-8.2500000000;45.0000000000
