acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-9.5501512393;0.7133869287;1.8703287164;-0.8024775678;-0.2505004019;-1.0084387879;38.6875000000;-23.7500000000;-11.5000000000
-9.3740868387;0.6717833066;1.8684549445;-1.1386427182;0.4307381709;-0.6818901891;37.8750000000;-24.1875000000;-13.0625000000
-9.4378668944;0.7408014785;1.9876896900;-0.4431214667;1.1808928679;-0.7981578409;38.6875000000;-23.5000000000;-11.5000000000
-9.5055849502;0.7691083205;2.0702770392;0.0000000000;0.5715192303;-0.3170199781;39.0000000000;-24.1875000000;-13.0625000000
-9.5673499231;0.7234927105;2.0391966554;1.0142844966;-0.8143388696;0.6308161265;39.0000000000;-24.1875000000;-13.0625000000
-9.3721207159;0.6819110305;1.9766888858;0.3159319848;-0.7971384041;0.4429275642;39.0000000000;-23.7500000000;-11.8750000000
-9.5204067487;0.7105767230;1.8702280360;1.2875498827;-0.7973444735;0.7350308566;38.2500000000;-23.5000000000;-13.0625000000
-9.4122335809;0.6826660071;1.9741732751;1.2743608005;0.6143018308;1.4509523983;38.6875000000;-24.1875000000;-12.6875000000
-9.6440092954;0.4932579398;2.0369995154;0.4411048531;0.5633584366;0.7470869680;38.6875000000;-24.5625000000;-12.6875000000
-9.4213737395;0.6519244981;1.9511758269;0.1880886417;-0.3110277590;-0.8816416410;38.6875000000;-24.5625000000;-12.6875000000
-9.7160144372;0.6974247156;1.9451333609;-1.8745181693;-0.3160460907;-0.6254602821;38.6875000000;-24.1875000000;-13.0625000000
-9.5028994403;0.7683069180;1.8794361113;-0.7556018770;0.3802709599;-0.5635803167;38.6875000000;-23.7500000000;-13.5000000000
-9.5066817820;0.8280979323;1.9798305681;0.7605358966;0.6749551045;0.0620236572;38.2500000000;-24.5625000000;-11.0000000000
-9.6158783695;0.8075188757;2.0083633337;1.3083779988;0.1235685438;1.2350585872;38.6875000000;-23.7500000000;-12.5625000000
-9.3391228306;0.6974297637;1.9451015632;2.1584271143;0.0000000000;1.7706466636;38.6875000000;-23.7500000000;-12.5625000000
-9.3975194250;0.5425187780;1.9949755158;0.6941994438;-0.0630351457;1.1972651407;38.2500000000;-24.1875000000;-13.0000000000
-9.4351295530;0.5430597034;1.8725291964;0.5726356364;0.2494020249;-0.1239232700;37.8750000000;-24.1875000000;-11.0000000000
-9.6216756685;0.7026333551;1.8680599064;0.0626607575;1.2965772557;0.0000000000;37.8750000000;-22.0000000000;-11.7500000000
-9.4492989859;0.6311461575;2.0141221365;-1.1870898325;1.7473617162;0.0614082883;39.0000000000;-23.5000000000;-12.5625000000
-9.4720984532;0.6924981720;1.9968067850;0.1910747018;1.1340407347;-0.8670598937;39.0000000000;-23.5000000000;-12.5625000000
-9.6138309583;0.7900978205;2.0635988154;-0.5583533774;0.8686087380;-0.8612410943;39.0000000000;-22.6875000000;-11.7500000000
-9.5191687003;0.8312210442;1.9027118484;-0.1892190582;-0.1893218289;0.1906572108;38.6875000000;-24.1875000000;-12.5625000000
-9.4301891523;0.7305447041;2.0385667482;0.9539051561;0.3775931387;0.6928537894;39.0000000000;-23.7500000000;-11.3750000000
-9.5363410199;0.7156509075;1.9668519076;0.8764946905;0.0000000000;0.8279919508;38.2500000000;-23.7500000000;-12.5625000000
-9.5615836928;0.6939274184;1.8946096800;0.5078244516;-0.2524364945;0.8087357882;38.2500000000;-23.7500000000;-12.5625000000
-9.5856898069;0.7209009598;1.5483560206;1.8483662020;1.5023286275;0.9435328026;38.2500000000;-24.5625000000;-12.1875000000
-9.8425084990;0.2548827280;1.0540695699;-1.9334815888;7.9825542782;-2.4751138124;38.2500000000;-22.3750000000;-11.7500000000
-10.1667832497;0.6383719115;0.1718314123;-3.1603963315;21.1705268432;-3.3486212069;38.6875000000;-22.6875000000;-12.1875000000
-10.8423618752;-0.1888340342;-1.1106618652;-20.9987974356;30.6728803132;-6.6271305802;39.0000000000;-23.5000000000;-11.0000000000
-10.7409584415;0.0099994832;-2.8874111063;31.5627188908;60.2866990378;-17.0534888720;39.0000000000;-23.5000000000;-11.0000000000
-12.6336387824;-1.1660275177;-4.1369705525;-20.8914141627;96.9131745659;-10.4926411355;38.6875000000;-23.5000000000;-9.3750000000
-12.6829712665;-2.3187897416;-5.1637769305;18.8893049913;132.5047634170;-42.4908739139;40.0625000000;-21.2500000000;-8.5625000000
-13.7344654106;-0.2604067834;-6.6459694402;24.3017074300;170.0039041733;-46.8378706116;41.5625000000;-20.5000000000;-3.0625000000
-15.2089119034;-2.2349644495;-5.7635265504;-39.6303225141;222.5076373862;-43.0230279173;44.6875000000;-19.0000000000;1.1875000000
-14.1752450000;0.3338006196;-6.0042118452;75.7413381439;258.3330300925;-62.0666564025;44.6875000000;-19.0000000000;1.1875000000
-14.5406282119;1.1394678780;-5.5441700998;30.6744002258;313.5232305761;-49.1900981851;44.6875000000;-15.0000000000;8.5625000000
-13.1111842420;-0.1678470848;-4.6646820135;15.0040541969;307.2577049223;-45.5241020095;43.1875000000;-10.8750000000;18.0000000000
-10.6472371766;2.2097961156;-5.8197710044;99.4240909700;297.5346208009;-45.7732470440;38.7500000000;-8.0625000000;28.8750000000
-8.6147143629;1.3408941404;-3.7933465373;57.7180422045;308.1395422883;-24.1267120064;38.7500000000;-8.0625000000;28.8750000000
-5.5110997657;0.9744716921;-2.1911435784;34.4240098034;205.6661400781;-21.8994552699;30.8750000000;-5.8750000000;35.6875000000
-2.8297911468;0.1308845349;-2.2810850993;105.3778479843;147.6061908430;22.2939676428;20.2500000000;-3.6875000000;43.7500000000
-0.7410508815;0.1729450148;-1.1414306916;50.4611075367;101.9296193195;21.6542542050;13.2500000000;0.0000000000;45.1875000000
-1.1665944830;-3.8848414732;-3.6203223356;-22.6388802841;43.2608541299;46.6755839703;8.0000000000;4.0000000000;45.7500000000
-1.0121825945;-6.1431350636;-6.4764807534;-14.5666310334;-1.4294677257;42.2067462109;8.0000000000;4.0000000000;45.7500000000
-0.0099994075;-6.5764960637;-9.8541160399;-52.4207166102;-27.0523061117;10.6951521313;6.5000000000;3.6875000000;46.7500000000
