acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
0.3329275738;-1.0908186459;9.7897381029;0.4422005966;0.8804346312;-0.5560434943;-0.1875000000;-5.0000000000;-42.8750000000
0.4823482865;-1.1066996736;9.9321025376;2.0560034931;1.2041560723;-0.6210851850;0.1875000000;-5.2500000000;-42.8750000000
0.4424129760;-1.1093360686;9.3888329836;0.2495411799;-0.6173179973;-0.2478747536;-0.1875000000;-5.0000000000;-42.5000000000
0.4146492216;-1.1266521531;9.8006958123;0.4377044924;-0.4288948428;0.0000000000;-0.1875000000;-5.0000000000;-42.5000000000
0.3195623823;-0.8277884304;9.5215836348;0.5718969689;-0.8128551528;0.0000000000;0.1875000000;-5.0000000000;-42.8750000000
0.3326826128;-0.8641634624;9.7970772387;0.3696988167;-0.1270589042;-1.0616025872;0.1875000000;-5.0000000000;-40.8750000000
0.3741902276;-1.0751542513;9.6837296276;0.8645960247;-0.1885467338;-0.2495171282;-0.1875000000;-5.6875000000;-41.2500000000
0.4425065562;-1.0467095035;9.6606960615;1.5654434444;1.4661581147;0.1867024512;-0.1875000000;-5.2500000000;-41.6875000000
0.3918625739;-1.0655436417;9.6195535862;0.0632475611;-0.8665059300;0.2536250099;-0.1875000000;-5.2500000000;-41.6875000000
0.3518983035;-0.9209615043;9.6793250670;-2.9708407102;-0.0624885873;-0.0633224238;-0.1875000000;-5.6875000000;-41.2500000000
0.3100978743;-1.3203558549;9.6740507681;0.9817252751;0.6788223613;-0.2485631927;-0.8750000000;-5.2500000000;-41.2500000000
0.3638441937;-0.9178125156;9.6190873817;1.9667581842;-0.7551543521;-0.4936947721;-0.5000000000;-5.2500000000;-42.0625000000
0.3405162778;-1.1147183268;9.6443910166;-3.7349985540;-1.0627240884;0.5568549705;-0.1875000000;-5.2500000000;-42.0625000000
0.3810533005;-1.1791669703;9.8944458893;-0.3699657411;-1.1794163376;0.2480222621;-0.1875000000;-5.2500000000;-42.0625000000
0.3002384433;-0.9177711338;9.6035246066;-3.7562316120;-1.7022950982;0.6925065887;-0.5000000000;-4.5625000000;-41.2500000000
0.3803853642;-0.9613240066;9.6508816406;-2.7757214714;-2.1025578919;-0.1853711859;-0.1875000000;-4.1875000000;-40.8750000000
0.3950124156;-1.1362937134;9.7337026488;6.1486428523;-0.1260794017;-0.1268379402;-0.8750000000;-5.0000000000;-41.6875000000
0.3799940482;-0.7949448112;9.6630605254;2.0826552226;-0.2480099777;-0.9805769343;-0.1875000000;-5.6875000000;-42.0625000000
0.3642016343;-1.1705164917;9.7264652325;-5.1575182774;-0.1879524033;0.1890801781;-0.1875000000;-5.6875000000;-42.0625000000
0.3630974554;-1.1983511765;9.8501745634;2.3945432744;0.0000000000;-0.9199476650;-0.8750000000;-5.0000000000;-42.0625000000
0.3438508167;-0.8122794859;9.5321506970;1.6140062617;-0.6889788219;-0.5593068772;-0.3750000000;-4.5625000000;-42.5000000000
0.4749201557;-1.1750317239;9.6226400611;-2.5850136573;-0.5090978395;0.1844094229;0.2500000000;-5.0000000000;-42.0625000000
0.4831018073;-1.2524938174;9.5655376084;-0.8894777030;-1.5117721193;0.0000000000;0.2500000000;-5.0000000000;-42.0625000000
0.4563156624;-0.8780494961;9.6098071842;2.3367990798;-2.1056374451;-0.5053608518;-0.1875000000;-5.6875000000;-40.5000000000
0.2913460063;-0.8977891576;9.4084690233;5.1637631536;1.0005870454;-1.1047997050;-0.5000000000;-5.2500000000;-41.6875000000
0.4594869046;-0.9936801384;9.6453880395;0.8665310203;0.3770701975;-0.1258064266;-0.8750000000;-5.0000000000;-41.6875000000
0.4556674498;-1.0575860486;9.5769709913;-0.6917349560;-1.2026003047;-0.0628346398;-0.7500000000;-5.6875000000;-41.6875000000
0.4567523567;-1.0194211610;9.8238070904;1.5222225197;-0.8112712081;0.6275657680;-0.7500000000;-5.6875000000;-41.6875000000
0.4220995379;-0.8966460111;9.7159268724;1.3236537825;-0.1232326734;-0.4455682665;-0.0625000000;-5.6875000000;-42.0625000000
0.4660514162;-1.0333697880;9.6079020312;-0.5043391412;-1.3831131784;0.8036932807;-0.5000000000;-5.2500000000;-42.5000000000
0.3995663355;-0.9272786369;9.8812089506;1.5674538691;-1.3205803779;-0.2536012864;-0.1875000000;-6.0000000000;-42.0625000000
0.5522012337;-0.9314449992;9.6067781373;1.2300065460;-0.5719650920;0.8151088039;-0.1875000000;-5.6875000000;-41.6875000000
0.3923752391;-1.1178870926;9.7478916272;2.5805867096;0.1260988353;-0.0635270351;-0.1875000000;-5.6875000000;-41.6875000000
0.5786672622;-1.2093273368;9.6454445403;3.4247123620;-0.5712852230;-1.2552353726;-0.1875000000;-5.2500000000;-42.0625000000
0.3783061274;-0.6711034377;9.7361424761;4.1059402632;-1.4903965187;-1.6189067162;-0.8750000000;-5.6875000000;-40.5000000000
0.2943814459;-0.8663947750;9.9751953406;5.5293650239;-0.5560824747;-0.0625585137;-0.5000000000;-5.6875000000;-41.2500000000
0.4374734742;-0.6383671320;10.3500071434;-2.3447906876;-4.3194642904;0.2450060644;-0.1875000000;-5.6875000000;-40.8750000000
0.5098733865;-1.1191923474;10.2864742826;-6.0065880061;-8.3475769249;2.3396317597;-0.1875000000;-5.6875000000;-40.8750000000
0.4541444714;-0.9447218405;10.9469914064;11.9121817337;-5.2396322696;0.8666763951;-0.8750000000;-5.2500000000;-42.5000000000
1.0078443011;-1.2524404844;10.4192466239;2.5998062283;-20.1393502488;2.3912113429;-1.5625000000;-5.6875000000;-41.6875000000
1.1859769631;-1.2127194041;9.5024563566;1.1405508708;-29.1383152544;-3.0212387973;-2.0000000000;-5.2500000000;-40.5000000000
0.8594494023;-0.9222455543;8.9525424128;-4.7304430716;-20.6963308522;-5.6336094978;-2.3750000000;-6.3750000000;-41.1875000000
1.0651578179;-0.7943846943;8.3561596731;-3.2386053314;-18.5939184617;-4.3164187728;-2.3750000000;-6.3750000000;-41.1875000000
1.0534672268;-0.4663141119;8.3442131442;3.4453488111;-5.8857666384;-3.4684189999;-3.5000000000;-6.0000000000;-40.8750000000
1.0616337340;-0.5161781991;9.1980731241;-0.1857946795;4.4957471977;-2.4233551793;-3.8750000000;-6.7500000000;-40.0625000000
1.2473123610;-0.5987170935;9.6704983838;1.1460389257;6.5712434314;1.0459011406;-4.5625000000;-6.7500000000;-41.6875000000
