acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-9.2522237508;-0.3053285538;1.4889095531;-1.9147919077;-0.1250251743;1.1036750337;29.2500000000;7.0000000000;-13.6875000000
-9.6661986127;-0.4820930378;1.1923587256;2.6575711009;7.8650346075;-0.5566898199;30.0625000000;7.6875000000;-14.0625000000
-9.3325560183;-0.4252378393;1.2064946605;11.7541447809;2.5735366835;-2.9624512262;30.0625000000;7.0000000000;-14.0000000000
-9.6004551062;0.0396691199;1.1739329379;2.2908806055;1.9012309815;-1.3976571582;29.2500000000;6.6875000000;-13.7500000000
-9.4939783701;-0.5125585886;1.2609676278;-1.7879105356;-0.3717399824;-0.8850345613;29.0000000000;7.3750000000;-13.2500000000
-9.3970505708;-0.2997949019;1.1253041171;4.1856733632;0.6738812784;-1.4919232823;29.0000000000;7.3750000000;-13.2500000000
-9.4818456680;-0.1291013732;1.0238417430;-1.6491960550;3.0352274050;2.1660598554;29.0000000000;6.6875000000;-13.2500000000
-9.4794914057;-0.8308920196;1.1030342682;-0.2450728603;8.6354312942;0.2482123665;28.5625000000;7.3750000000;-14.0625000000
-9.6630330933;-0.2032144480;1.3854561251;10.0180443555;8.3169051061;0.1892994811;28.2500000000;7.0000000000;-13.2500000000
-9.1927180594;-0.5795413151;0.9448173416;0.4314047156;4.6389334409;-3.6880058698;27.8750000000;7.3750000000;-14.0625000000
-9.7515271203;-0.2016002902;1.0429330790;9.8069799014;8.2793047709;1.8599110665;27.8750000000;7.3750000000;-14.0625000000
-9.5384238062;-0.4981863641;1.0584205569;-1.0556512961;-0.8750289847;0.4999128430;27.5000000000;7.0000000000;-12.5000000000
-9.2807035381;-0.4580731578;0.8291108553;3.6078371452;0.4332320224;0.5033363246;28.2500000000;7.3750000000;-13.2500000000
-9.5588773312;-0.5314605689;0.9675527117;4.0663726576;4.9998650807;1.6478961442;29.0000000000;6.6875000000;-13.0000000000
-9.3227982809;-0.5283201007;0.9906957758;4.6447798085;1.5649929444;-0.9415536475;28.2500000000;7.0000000000;-12.5000000000
-9.3541838249;-0.4062164801;0.9392240528;5.2797508153;1.9723242522;0.1840871747;28.2500000000;7.0000000000;-12.5000000000
-9.3278885672;-0.5760130014;1.0933114110;0.1229543805;-1.6009954856;-0.1266277318;27.8750000000;5.8750000000;-14.5000000000
-9.2860231706;-0.5751569331;1.0013587913;2.9342332969;0.6240595128;2.4390325471;28.5625000000;7.3750000000;-12.0625000000
-9.3945825986;-0.5231143856;1.0103488650;6.4266033639;-1.0036278592;-2.3744214278;29.0000000000;6.6875000000;-13.2500000000
-8.9985577351;-0.4665648475;1.0380329942;3.9791328934;-0.6232984605;-0.6937702486;28.5625000000;7.0000000000;-13.2500000000
-9.2560851748;-0.5159728579;1.0366859728;8.4368844678;2.9183154552;1.1956790610;28.5625000000;7.0000000000;-13.2500000000
-9.8147274738;-0.3665207863;1.3513791091;5.8301116022;0.3108760557;-2.0244455790;28.5625000000;7.0000000000;-12.5000000000
-8.8167090244;0.0000000000;1.3825563272;9.2857520505;0.7007707273;-2.2782631982;29.0000000000;6.2500000000;-14.5000000000
-9.5594272614;0.3221389080;1.1407896046;5.0020118074;-2.8847455467;2.4509598801;29.0000000000;6.2500000000;-13.7500000000
-9.4583545700;-0.7028737614;0.9907752368;4.2871921088;-1.7175352178;8.7616442151;28.2500000000;5.8750000000;-13.0000000000
-9.5417077403;-0.5547367948;0.8835333417;3.1491197556;1.0747727358;3.6908966441;28.2500000000;5.8750000000;-13.0000000000
-9.7402808108;-0.6215762176;0.7790790077;8.8656351609;-0.7366510409;2.1569525452;28.5625000000;6.2500000000;-12.1875000000
-9.6043954023;-0.3162019266;0.9142990545;10.3882036388;4.2398449483;3.2774043414;29.0000000000;5.5000000000;-13.0000000000
-9.5546441032;-0.4371272808;0.9314101073;2.3934594732;2.2345438355;0.1243739827;28.5625000000;5.8750000000;-12.5000000000
-9.0976027298;-0.4992455579;0.9658403601;9.9699995897;0.6933887154;-0.1878471866;29.2500000000;5.8750000000;-14.5000000000
-9.2698517633;-0.1181256513;1.0208050121;13.9599000648;4.1135437568;2.1735836455;29.2500000000;5.8750000000;-14.5000000000
-9.1846044928;-0.2777780511;1.2564658335;5.8400139906;-0.0612981909;2.5003847750;29.6875000000;5.8750000000;-13.6875000000
-9.3457623194;-0.3954783683;1.0670908233;7.7485630997;0.8581048634;1.0824232112;29.2500000000;5.1875000000;-12.0625000000
-9.4354896463;-0.2194931443;0.9596248663;5.1074238171;2.1763538615;3.0743346728;29.6875000000;5.1875000000;-12.5000000000
-9.5739891698;-0.0692901442;0.8603969172;4.9346125793;-2.1532470964;4.4140055465;30.0625000000;4.7500000000;-13.0000000000
-9.4008439341;-0.3222782458;0.6154476251;0.0000000000;-3.0893421761;5.3428248989;30.0625000000;4.7500000000;-13.0000000000
-9.2652125597;-0.0886616842;0.7142286643;6.5426218881;6.6207374625;3.4563741702;29.2500000000;5.1875000000;-13.0000000000
-9.4825094379;-0.2067419038;0.9529821731;3.1524446344;3.4866943852;1.9987474825;29.0000000000;4.3750000000;-12.8750000000
-9.3955616229;-0.1597606649;0.7201200271;4.5749698275;3.8860506822;0.6831162007;29.2500000000;4.3750000000;-13.2500000000
-9.1930869781;-0.1104333867;0.8112235456;1.6957166378;3.6208681437;-1.9120865478;29.6875000000;3.6875000000;-13.6875000000
-9.3851676377;0.2459666614;0.9830246643;5.0466357720;4.8580346303;0.3090369401;29.6875000000;3.6875000000;-13.6875000000
-8.9214408826;-0.2771730473;0.7608007291;-4.1456492772;-0.1243273066;-3.0017671404;29.0000000000;3.6875000000;-13.7500000000
-9.4043175296;0.0000000000;0.7725024450;6.6220847988;6.9674041441;0.3167721308;29.6875000000;4.7500000000;-13.2500000000
-9.5805048196;0.1197004772;0.9378707520;-2.3411782920;4.1031216921;-0.8008301100;29.2500000000;3.6875000000;-12.8750000000
-9.4370525974;-0.3669312327;0.7340091206;-1.1255168529;0.3142076384;-1.4273627144;29.2500000000;4.0000000000;-12.5000000000
-9.1431521582;0.0000000000;0.6007319722;2.7537104885;7.2868318149;3.0359190446;29.2500000000;4.0000000000;-12.5000000000
-9.4649826897;-0.1405276135;0.8329709698;-0.8793146190;6.7760423957;1.2990390402;29.6875000000;4.0000000000;-13.2500000000
-9.5551599550;-0.1666095753;0.7601191872;0.2493483957;-3.7605135869;-1.7626785233;29.6875000000;4.0000000000;-12.0625000000
-9.1188871154;-0.3651962334;0.5500331083;0.3183131523;4.5928178968;1.5425799724;29.6875000000;4.3750000000;-12.1875000000
-9.7226784332;0.0198127846;0.6993806301;4.5663768741;4.7596360227;0.9435828389;30.0625000000;4.0000000000;-12.0625000000
-9.2268645522;-0.2184818852;0.5438717724;1.6970156532;-2.5402854966;-0.8794099066;30.0625000000;4.0000000000;-12.0625000000
-9.5641131536;-0.0299072628;0.5659269826;12.1451682945;5.4071949985;3.1719047620;29.2500000000;4.7500000000;-11.6875000000
