acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-8.7924000000;-0.7446000000;3.7026000000;2.9962500000;13.8337500000;6.5025000000;28.5000000000;-10.1875000000;-17.7500000000
-9.3840000000;-0.8874000000;3.7842000000;9.4987500000;11.7937500000;-1.4025000000;28.0625000000;-11.2500000000;-18.5625000000
-9.2004000000;-0.9792000000;3.6210000000;11.5387500000;7.7137500000;-4.2075000000;28.5000000000;-11.2500000000;-19.0000000000
-8.9556000000;-0.8058000000;3.4374000000;-2.3587500000;1.7850000000;2.3587500000;28.7500000000;-10.7500000000;-17.7500000000
-9.0576000000;-1.4586000000;3.6516000000;-18.2325000000;0.9562500000;2.6775000000;28.7500000000;-10.7500000000;-17.7500000000
-8.8434000000;-0.5712000000;3.8352000000;-3.8250000000;-6.8850000000;-3.1237500000;29.1875000000;-11.1875000000;-17.7500000000
-9.8226000000;-0.6324000000;3.9168000000;-1.5300000000;-2.8687500000;-4.9087500000;28.7500000000;-10.7500000000;-17.0000000000
-8.6904000000;0.5406000000;3.4272000000;-1.7212500000;-18.1687500000;-4.6537500000;29.1875000000;-10.5000000000;-17.7500000000
-9.4044000000;-0.3162000000;3.5700000000;-12.3037500000;-6.5662500000;-3.1237500000;28.0625000000;-11.2500000000;-18.5625000000
-9.3942000000;0.1530000000;3.5802000000;10.8375000000;-15.3637500000;-7.2675000000;28.0625000000;-11.2500000000;-18.5625000000
-9.5676000000;-0.1836000000;3.5904000000;4.3987500000;-5.4825000000;-9.6262500000;28.0625000000;-10.3750000000;-19.0000000000
-9.3534000000;-0.2448000000;3.2946000000;9.4350000000;-9.7537500000;-7.3312500000;28.5000000000;-9.6875000000;-19.7500000000
-9.2310000000;-1.0404000000;3.3660000000;3.7612500000;0.0637500000;-4.6537500000;28.5000000000;-9.7500000000;-19.7500000000
-9.2106000000;-1.9074000000;3.8250000000;8.9887500000;-0.2550000000;-17.5950000000;28.0625000000;-10.5000000000;-19.3750000000
-9.2820000000;-1.2954000000;3.8454000000;17.5312500000;1.6575000000;-14.0250000000;28.0625000000;-10.5000000000;-19.3750000000
-9.0168000000;-1.6422000000;4.1004000000;6.6300000000;-6.8850000000;-12.0487500000;28.7500000000;-10.1875000000;-19.3750000000
-8.3640000000;-1.2444000000;4.1718000000;4.4625000000;-12.3037500000;-5.8650000000;27.2500000000;-10.1875000000;-19.7500000000
-9.4758000000;-1.1016000000;4.4880000000;-13.3875000000;-7.2037500000;-0.3187500000;27.6875000000;-10.0625000000;-19.0000000000
-9.4962000000;-0.9384000000;4.0494000000;-17.4675000000;-9.1800000000;1.4025000000;28.5000000000;-10.0625000000;-17.7500000000
-8.6292000000;-0.9996000000;3.6618000000;-20.0812500000;-12.4312500000;4.4625000000;28.5000000000;-10.0625000000;-17.7500000000
-9.6696000000;-1.7136000000;3.4680000000;-36.0825000000;1.4025000000;10.2637500000;27.6875000000;-10.0625000000;-20.5625000000
-8.6292000000;-1.2240000000;3.6210000000;-25.1812500000;-8.0325000000;13.8337500000;28.5000000000;-8.8750000000;-19.3750000000
-8.9352000000;-0.9996000000;3.6210000000;-26.0737500000;3.5700000000;13.7062500000;28.5000000000;-8.8750000000;-21.2500000000
-9.3738000000;-1.0914000000;4.0086000000;-22.1212500000;0.8925000000;6.7575000000;27.2500000000;-9.0000000000;-19.7500000000
-9.2310000000;-0.4998000000;4.2738000000;-8.4787500000;0.8925000000;3.1237500000;27.2500000000;-9.0000000000;-19.7500000000
-8.9658000000;-0.7140000000;3.9678000000;-11.0925000000;0.8287500000;1.2750000000;28.5000000000;-8.5625000000;-21.0000000000
-9.2718000000;-0.1326000000;4.4676000000;0.0637500000;0.4462500000;2.6775000000;27.6875000000;-7.8750000000;-20.5625000000
-9.1392000000;-0.8160000000;4.1310000000;-19.8900000000;-6.6937500000;10.4550000000;27.2500000000;-8.2500000000;-20.5625000000
-8.8740000000;-0.7242000000;3.8148000000;-19.1250000000;-4.7812500000;14.7262500000;26.5625000000;-8.8750000000;-19.7500000000
-9.6186000000;-0.9996000000;3.4782000000;-14.7262500000;-4.7175000000;6.7575000000;26.5625000000;-8.8750000000;-19.7500000000
