time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-9.5310625800;-2.4013452000;-1.5681000600;0.0427155600;0.0398718000;0.0124766400;0.6357330000;0.4922310000;-0.1143970000
2;-9.5157605400;-2.3712990600;-1.5525654600;0.0306918000;0.0446535600;0.0217453800;0.6349390000;0.4922250000;-0.1138780000
3;-9.5310207600;-2.3712664200;-1.5298459800;-0.0052101600;0.0593660400;0.0086088000;0.6358700000;0.4922290000;-0.1143910000
4;-9.5162817600;-2.4621667800;-1.5074896200;-0.0071542800;0.0476197200;0.0179581200;0.6351540000;0.4915210000;-0.1124870000
5;-9.5769748200;-2.4464720400;-1.5306834000;0.0463671600;0.0399850200;0.0236385000;0.6367790000;0.4913810000;-0.1128340000
6;-9.5466145200;-2.4618016200;-1.5381640800;0.0333968400;0.0225430200;0.0106753200;0.6370980000;0.4917540000;-0.1119970000
7;-9.5010072600;-2.4921874200;-1.5912979200;0.0020777400;0.0373626000;0.0087108000;0.6366780000;0.4916300000;-0.1121510000
8;-9.5544705600;-2.5221682800;-1.5462282000;0.0343230000;0.0225307800;0.0106743000;0.6360100000;0.4904330000;-0.1118940000
9;-9.5464605000;-2.4315423000;-1.5455784600;0.0187180200;0.0325349400;-0.0024102600;0.6381970000;0.4912100000;-0.1119490000
10;-9.5466308400;-2.4693292200;-1.5458253000;0.0020808000;0.0317587200;-0.0005701800;0.6373660000;0.4909570000;-0.1121190000
11;-9.5313859200;-2.4768884400;-1.5762049800;0.0149674800;0.0206703000;-0.0023643600;0.6382380000;0.4898620000;-0.1112490000
12;-9.5309534400;-2.3936676600;-1.5984960600;0.0122614200;0.0297697200;-0.0070563600;0.6374780000;0.4887110000;-0.1126490000
13;-9.5309697600;-2.4011952600;-1.6061562600;0.0243096600;0.0295534800;-0.0172716600;0.6380630000;0.4898830000;-0.1119450000
14;-9.5159390400;-2.4316065600;-1.5910174200;0.0206468400;0.0276134400;-0.0284304600;0.6370610000;0.4912410000;-0.1126840000
15;-9.5462483400;-2.4011932200;-1.5758255400;-0.0053233800;0.0169870800;-0.0153989400;0.6365890000;0.4902790000;-0.1113190000
16;-9.5160573600;-2.4618057000;-1.5988265400;0.0039606600;0.0214220400;-0.0209865000;0.6368210000;0.4925550000;-0.1120140000
17;-9.5311248000;-2.4314545800;-1.5987429000;-0.0089821200;0.0243351600;-0.0145054200;0.6364130000;0.4910970000;-0.1120200000
18;-9.5538504000;-2.4011320200;-1.5758826600;0.0206295000;0.0295208400;-0.0219300000;0.6356010000;0.4926940000;-0.1117890000
19;-9.4855797600;-2.4469361400;-1.5984981000;-0.0256071000;0.0244504200;-0.0154540200;0.6361820000;0.4916090000;-0.1112070000
20;-9.5159390400;-2.4316065600;-1.5910174200;-0.0033894600;0.0259875600;-0.0256652400;0.6352080000;0.4908300000;-0.1115160000
21;-9.5462412000;-2.4161872200;-1.6063694400;0.0020134800;0.0115382400;-0.0079243800;0.6355840000;0.4925020000;-0.1095850000
22;-9.5309728200;-2.3936982600;-1.5908848200;-0.0145554000;0.0207570000;-0.0117055200;0.6365510000;0.4932850000;-0.1094140000
23;-9.5007430800;-2.4542505600;-1.6291072800;-0.0274053600;0.0447545400;-0.0006630000;0.6365380000;0.4924950000;-0.1096840000
24;-9.5083920600;-2.4767711400;-1.6521470400;-0.0219544800;0.0329419200;0.0086955000;0.6355590000;0.4935770000;-0.1100070000
25;-9.5614585800;-2.4310884000;-1.6294173600;0.0159834000;0.0333723600;-0.0080019000;0.6359870000;0.4932990000;-0.1097120000
26;-9.5234941800;-2.4539761800;-1.6521133800;-0.0135721200;0.0400880400;0.0003029400;0.6353710000;0.4923420000;-0.1084910000
27;-9.5310024000;-2.4537650400;-1.6902277200;-0.0070165800;0.0518323200;-0.0062515800;0.6350160000;0.4936450000;-0.1074130000
28;-9.5307514800;-2.5508955600;-1.9724882400;0.0115443600;0.0496005600;-0.0220411800;0.6354720000;0.4935510000;-0.1040890000
29;-9.5606558400;-2.5048252200;-2.0942028000;0.0247523400;0.1062381000;-0.0157590000;0.6366610000;0.4940920000;-0.1048710000
30;-9.5456057400;-2.7452759400;-2.4762356400;0.0104407200;0.1643454600;-0.0476717400;0.6357140000;0.4940280000;-0.1021550000
31;-9.5762394000;-2.9104486200;-2.6906692200;-0.0057477000;0.2392634400;-0.0554716800;0.6368210000;0.4956030000;-0.0968890000
32;-9.6078900000;-3.4373775600;-3.1586482800;-0.0046869000;0.3715319400;-0.1388607600;0.6324520000;0.4999530000;-0.0889710000
33;-9.6682372800;-3.8937877800;-4.1972612400;-0.1715844000;0.5463701400;-0.1910490600;0.6319860000;0.5041620000;-0.0773150000
