time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;0.0000000000;0.5000000000;9.8300000000;0.6875000000;-0.1250000000;-0.5000000000;15.2500000000;-2.1875000000;-48.8750000000;0.6932370000;-0.0192260000;0.0161740000;-0.7202760000
2;0.0300000000;0.5100000000;9.7600000000;0.0625000000;-0.9375000000;0.3750000000;16.0625000000;-2.5625000000;-48.0625000000;0.6932370000;-0.0192870000;0.0164790000;-0.7202760000
3;0.0100000000;0.4700000000;9.5500000000;-1.5625000000;0.0625000000;0.6250000000;16.3750000000;-3.0000000000;-47.6875000000;0.6932980000;-0.0189210000;0.0162350000;-0.7202150000
4;0.0000000000;0.4000000000;9.8400000000;-0.5000000000;1.0000000000;0.0625000000;16.0625000000;-2.5625000000;-48.0625000000;0.6932980000;-0.0189820000;0.0158080000;-0.7202150000
5;-0.0300000000;0.4400000000;9.8700000000;1.4375000000;0.0000000000;-0.1250000000;16.0625000000;-2.1875000000;-48.8750000000;0.6932980000;-0.0191040000;0.0159300000;-0.7202150000
6;-0.0100000000;0.3900000000;9.7100000000;0.2500000000;-1.0625000000;-0.4375000000;16.0625000000;-2.1875000000;-48.8750000000;0.6932980000;-0.0192260000;0.0162350000;-0.7202150000
7;0.0300000000;0.6000000000;9.7700000000;-1.0000000000;0.0625000000;-1.1250000000;15.6875000000;-1.7500000000;-48.0625000000;0.6931150000;-0.0190430000;0.0161740000;-0.7203980000
8;0.0200000000;0.4200000000;9.7200000000;1.1250000000;-0.0625000000;-0.0625000000;17.1875000000;-2.5625000000;-47.2500000000;0.6931150000;-0.0190430000;0.0161740000;-0.7203980000
9;0.0300000000;0.4200000000;9.8500000000;-1.3750000000;-0.0625000000;0.1250000000;16.0625000000;-2.5625000000;-47.6875000000;0.6931150000;-0.0189820000;0.0161130000;-0.7203980000
10;0.0400000000;0.4700000000;9.8400000000;0.6250000000;-0.3750000000;0.3125000000;15.6875000000;-2.1875000000;-49.2500000000;0.6931150000;-0.0190430000;0.0161740000;-0.7203980000
11;0.0000000000;0.4400000000;9.7500000000;-0.9375000000;-1.8125000000;0.1875000000;15.6875000000;-2.1875000000;-49.2500000000;0.6931150000;-0.0185550000;0.0162960000;-0.7203980000
12;-0.0900000000;0.3600000000;9.9300000000;0.8750000000;-0.9375000000;-0.3750000000;16.0625000000;-2.1875000000;-48.8750000000;0.6930540000;-0.0181880000;0.0167240000;-0.7204590000
13;-0.0400000000;0.5500000000;10.2800000000;1.7500000000;-6.6875000000;-0.6875000000;16.3750000000;-2.5625000000;-46.8750000000;0.6928710000;-0.0178220000;0.0178220000;-0.7206420000
14;0.2000000000;0.5500000000;9.8300000000;-2.7500000000;-9.1250000000;0.1875000000;15.6875000000;-2.5625000000;-47.6875000000;0.6928100000;-0.0156250000;0.0198970000;-0.7207030000
15;0.1700000000;0.3200000000;9.6000000000;1.8125000000;-7.3125000000;0.3125000000;15.6875000000;-2.1875000000;-47.2500000000;0.6927490000;-0.0132450000;0.0215450000;-0.7207640000
16;0.0600000000;0.6900000000;9.9700000000;1.1250000000;-4.9375000000;-0.3125000000;15.6875000000;-2.1875000000;-47.2500000000;0.6925660000;-0.0128170000;0.0236210000;-0.7208250000
