time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;-9.5400000000;-1.3900000000;-0.0500000000;-0.6250000000;-0.9375000000;1.6875000000;46.5625000000;-5.8750000000;-9.2500000000;0.6785280000;0.2823490000;-0.6561890000;0.1712040000
2;-9.6200000000;-1.5200000000;-0.1900000000;-2.5625000000;-1.0625000000;1.2500000000;46.2500000000;-4.7500000000;-10.0000000000;0.6781620000;0.2836300000;-0.6554570000;0.1732790000
3;-9.5800000000;-1.5500000000;-0.2700000000;-1.3125000000;0.4375000000;0.6875000000;47.0000000000;-6.2500000000;-10.0000000000;0.6779790000;0.2839970000;-0.6553340000;0.1737670000
4;-9.6500000000;-1.5200000000;-0.1300000000;0.8750000000;0.9375000000;0.0000000000;47.0000000000;-6.2500000000;-10.0000000000;0.6778560000;0.2839360000;-0.6555180000;0.1735840000
5;-9.5600000000;-1.4600000000;-0.2600000000;3.3750000000;0.2500000000;-0.0625000000;46.5625000000;-5.5625000000;-8.8750000000;0.6781010000;0.2832640000;-0.6557620000;0.1729130000
6;-9.5700000000;-1.5200000000;-0.1200000000;-1.0000000000;1.3750000000;0.0625000000;47.0000000000;-5.8750000000;-9.2500000000;0.6777950000;0.2833860000;-0.6560670000;0.1728520000
7;-9.6100000000;-1.5700000000;-0.0400000000;-2.5000000000;-0.3750000000;-0.9375000000;46.2500000000;-5.1875000000;-8.8750000000;0.6776730000;0.2840580000;-0.6557620000;0.1732180000
8;-9.5700000000;-1.3800000000;-0.1800000000;3.1250000000;-0.9375000000;-1.7500000000;45.5000000000;-4.7500000000;-10.0000000000;0.6777950000;0.2852170000;-0.6550290000;0.1739500000
9;-9.5900000000;-1.4000000000;-0.1600000000;-2.9375000000;-0.3125000000;2.2500000000;45.5000000000;-4.7500000000;-10.0000000000;0.6777340000;0.2850950000;-0.6550290000;0.1740720000
10;-9.5800000000;-1.6100000000;-0.1800000000;0.6250000000;-0.9375000000;-0.0625000000;46.2500000000;-5.8750000000;-9.2500000000;0.6777340000;0.2851560000;-0.6548460000;0.1748660000
11;-9.6400000000;-1.1300000000;-0.0800000000;2.8750000000;-1.3125000000;0.6250000000;46.2500000000;-7.0000000000;-9.2500000000;0.6784060000;0.2838130000;-0.6549070000;0.1740110000
12;-9.5800000000;-1.5700000000;-0.3200000000;-4.5625000000;-1.1250000000;3.5625000000;47.0000000000;-5.1875000000;-11.1875000000;0.6776730000;0.2856450000;-0.6539920000;0.1775510000
13;-9.6800000000;-1.4400000000;-0.0200000000;1.5000000000;-0.2500000000;0.6250000000;46.2500000000;-5.1875000000;-10.8750000000;0.6771850000;0.2868040000;-0.6534420000;0.1791990000
14;-9.5700000000;-1.3200000000;-0.3500000000;2.5000000000;-2.0625000000;2.1875000000;46.2500000000;-5.1875000000;-10.8750000000;0.6777950000;0.2855830000;-0.6534420000;0.1790160000
