time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;-9.5200000000;0.7100000000;1.8800000000;-0.8125000000;-0.2500000000;-1.0000000000;38.6875000000;-23.7500000000;-11.5000000000;0.7707520000;0.0277710000;-0.6298830000;0.0917970000
2;-9.5400000000;0.6700000000;1.8700000000;-1.1250000000;0.4375000000;-0.6875000000;37.8750000000;-24.1875000000;-13.0625000000;0.7706910000;0.0283200000;-0.6298830000;0.0918580000
3;-9.5000000000;0.7400000000;2.0100000000;-0.4375000000;1.1875000000;-0.8125000000;38.6875000000;-23.5000000000;-11.5000000000;0.7705080000;0.0285640000;-0.6301270000;0.0916750000
4;-9.4900000000;0.7800000000;2.0800000000;0.0000000000;0.5625000000;-0.3125000000;39.0000000000;-24.1875000000;-13.0625000000;0.7704470000;0.0286250000;-0.6302490000;0.0916140000
5;-9.4700000000;0.7200000000;2.0300000000;1.0000000000;-0.8125000000;0.6250000000;39.0000000000;-24.1875000000;-13.0625000000;0.7705080000;0.0285030000;-0.6301270000;0.0916140000
6;-9.5600000000;0.6800000000;2.0100000000;0.3125000000;-0.8125000000;0.4375000000;39.0000000000;-23.7500000000;-11.8750000000;0.7706910000;0.0283200000;-0.6299440000;0.0916750000
7;-9.5000000000;0.7100000000;1.8400000000;1.3125000000;-0.8125000000;0.7500000000;38.2500000000;-23.5000000000;-13.0625000000;0.7709350000;0.0278930000;-0.6297000000;0.0915530000
8;-9.5600000000;0.6700000000;1.9700000000;1.2500000000;0.6250000000;1.4375000000;38.6875000000;-24.1875000000;-12.6875000000;0.7708130000;0.0274050000;-0.6298220000;0.0915530000
9;-9.4900000000;0.5000000000;2.0600000000;0.4375000000;0.5625000000;0.7500000000;38.6875000000;-24.5625000000;-12.6875000000;0.7706910000;0.0272220000;-0.6300050000;0.0917360000
10;-9.5100000000;0.6600000000;1.9500000000;0.1875000000;-0.3125000000;-0.8750000000;38.6875000000;-24.5625000000;-12.6875000000;0.7707520000;0.0271610000;-0.6299440000;0.0913700000
11;-9.5500000000;0.7100000000;1.9100000000;-1.8750000000;-0.3125000000;-0.6250000000;38.6875000000;-24.1875000000;-13.0625000000;0.7707520000;0.0275270000;-0.6299440000;0.0914920000
12;-9.5000000000;0.7600000000;1.9100000000;-0.7500000000;0.3750000000;-0.5625000000;38.6875000000;-23.7500000000;-13.5000000000;0.7706910000;0.0278930000;-0.6299440000;0.0916750000
13;-9.5000000000;0.8300000000;2.0000000000;0.7500000000;0.6875000000;0.0625000000;38.2500000000;-24.5625000000;-11.0000000000;0.7706300000;0.0277710000;-0.6300660000;0.0916750000
14;-9.5200000000;0.8200000000;2.0200000000;1.3125000000;0.1250000000;1.2500000000;38.6875000000;-23.7500000000;-12.5625000000;0.7705690000;0.0272830000;-0.6301270000;0.0916140000
15;-9.5000000000;0.6900000000;1.9700000000;2.1250000000;0.0000000000;1.7500000000;38.6875000000;-23.7500000000;-12.5625000000;0.7705690000;0.0264890000;-0.6301880000;0.0916750000
16;-9.5400000000;0.5400000000;1.9700000000;0.6875000000;-0.0625000000;1.1875000000;38.2500000000;-24.1875000000;-13.0000000000;0.7705690000;0.0259400000;-0.6301880000;0.0917970000
17;-9.5700000000;0.5400000000;1.8600000000;0.5625000000;0.2500000000;-0.1250000000;37.8750000000;-24.1875000000;-11.0000000000;0.7705080000;0.0261230000;-0.6302490000;0.0916750000
18;-9.5400000000;0.7000000000;1.8500000000;0.0625000000;1.3125000000;0.0000000000;37.8750000000;-22.0000000000;-11.7500000000;0.7702640000;0.0260620000;-0.6306150000;0.0913700000
19;-9.5300000000;0.6400000000;1.9900000000;-1.1875000000;1.7500000000;0.0625000000;39.0000000000;-23.5000000000;-12.5625000000;0.7698360000;0.0263060000;-0.6311040000;0.0914920000
20;-9.5100000000;0.6900000000;1.9800000000;0.1875000000;1.1250000000;-0.8750000000;39.0000000000;-23.5000000000;-12.5625000000;0.7695310000;0.0266110000;-0.6314700000;0.0914310000
21;-9.4900000000;0.7800000000;2.0400000000;-0.5625000000;0.8750000000;-0.8750000000;39.0000000000;-22.6875000000;-11.7500000000;0.7693480000;0.0268550000;-0.6317140000;0.0911870000
22;-9.4900000000;0.8300000000;1.9000000000;-0.1875000000;-0.1875000000;0.1875000000;38.6875000000;-24.1875000000;-12.5625000000;0.7693480000;0.0267940000;-0.6317140000;0.0912480000
23;-9.5500000000;0.7200000000;2.0500000000;0.9375000000;0.3750000000;0.6875000000;39.0000000000;-23.7500000000;-11.3750000000;0.7693480000;0.0266110000;-0.6317140000;0.0913090000
24;-9.5000000000;0.7200000000;1.9400000000;0.8750000000;0.0000000000;0.8125000000;38.2500000000;-23.7500000000;-12.5625000000;0.7693480000;0.0261840000;-0.6317750000;0.0911870000
25;-9.6000000000;0.7000000000;1.8600000000;0.5000000000;-0.2500000000;0.8125000000;38.2500000000;-23.7500000000;-12.5625000000;0.7692870000;0.0260010000;-0.6317750000;0.0913700000
26;-9.6000000000;0.7200000000;1.5200000000;1.8125000000;1.5000000000;0.9375000000;38.2500000000;-24.5625000000;-12.1875000000;0.7691040000;0.0255130000;-0.6320800000;0.0911870000
27;-9.8300000000;0.2600000000;1.0400000000;-1.9375000000;7.9375000000;-2.4375000000;38.2500000000;-22.3750000000;-11.7500000000;0.7679440000;0.0256960000;-0.6334840000;0.0910030000
28;-10.0300000000;0.6500000000;0.1700000000;-3.1875000000;20.8750000000;-3.3750000000;38.6875000000;-22.6875000000;-12.1875000000;0.7647710000;0.0274660000;-0.6373900000;0.0902710000
29;-10.6500000000;-0.1900000000;-1.1100000000;-21.1875000000;30.1875000000;-6.5000000000;39.0000000000;-23.5000000000;-11.0000000000;0.7584230000;0.0342410000;-0.6442870000;0.0923460000
30;-10.7300000000;0.0100000000;-2.8900000000;31.1875000000;59.4375000000;-17.1875000000;39.0000000000;-23.5000000000;-11.0000000000;0.7487790000;0.0363160000;-0.6563720000;0.0848390000
31;-12.5800000000;-1.1700000000;-4.1200000000;-20.6875000000;95.8125000000;-10.3750000000;38.6875000000;-23.5000000000;-9.3750000000;0.7307130000;0.0385130000;-0.6770020000;0.0788570000
32;-12.6400000000;-2.2900000000;-5.1900000000;18.5625000000;130.9375000000;-42.2500000000;40.0625000000;-21.2500000000;-8.5625000000;0.7041020000;0.0509640000;-0.7045290000;0.0722660000
33;-13.9900000000;-0.2600000000;-6.6300000000;24.6875000000;173.4375000000;-46.8750000000;41.5625000000;-20.5000000000;-3.0625000000;0.6651000000;0.0592650000;-0.7426150000;0.0515140000
34;-14.9700000000;-2.2400000000;-5.8200000000;-39.1250000000;226.1875000000;-42.8750000000;44.6875000000;-19.0000000000;1.1875000000;0.6084590000;0.0808110000;-0.7882080000;0.0444950000
