time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;0.3300000000;-1.0800000000;9.6400000000;0.4375000000;0.8750000000;-0.5625000000;-0.1875000000;-5.0000000000;-42.8750000000;-0.0998540000;-0.0169070000;0.0585940000;-0.9931640000
2;0.4800000000;-1.1100000000;9.8900000000;2.0625000000;1.1875000000;-0.6250000000;0.1875000000;-5.2500000000;-42.8750000000;-0.0999150000;-0.0169070000;0.0584720000;-0.9931640000
3;0.4500000000;-1.1200000000;9.5600000000;0.2500000000;-0.6250000000;-0.2500000000;-0.1875000000;-5.0000000000;-42.5000000000;-0.0999150000;-0.0169070000;0.0583500000;-0.9931640000
4;0.4100000000;-1.1200000000;9.6700000000;0.4375000000;-0.4375000000;0.0000000000;-0.1875000000;-5.0000000000;-42.5000000000;-0.1000370000;-0.0169680000;0.0578610000;-0.9931640000
5;0.3200000000;-0.8300000000;9.6100000000;0.5625000000;-0.8125000000;0.0000000000;0.1875000000;-5.0000000000;-42.8750000000;-0.1000370000;-0.0169070000;0.0570070000;-0.9932250000
6;0.3300000000;-0.8800000000;9.6100000000;0.3750000000;-0.1250000000;-1.0625000000;0.1875000000;-5.0000000000;-40.8750000000;-0.1001590000;-0.0167240000;0.0562740000;-0.9932250000
7;0.3700000000;-1.0900000000;9.8100000000;0.8750000000;-0.1875000000;-0.2500000000;-0.1875000000;-5.6875000000;-41.2500000000;-0.1004030000;-0.0167240000;0.0565800000;-0.9931640000
8;0.4400000000;-1.0300000000;9.7500000000;1.5625000000;1.4375000000;0.1875000000;-0.1875000000;-5.2500000000;-41.6875000000;-0.1004030000;-0.0166020000;0.0562740000;-0.9932250000
9;0.3900000000;-1.0600000000;9.6100000000;0.0625000000;-0.8750000000;0.2500000000;-0.1875000000;-5.2500000000;-41.6875000000;-0.1001590000;-0.0166020000;0.0561520000;-0.9932250000
10;0.3500000000;-0.9100000000;9.6100000000;-3.0000000000;-0.0625000000;-0.0625000000;-0.1875000000;-5.6875000000;-41.2500000000;-0.1001590000;-0.0166020000;0.0565190000;-0.9932250000
11;0.3100000000;-1.3100000000;9.7400000000;1.0000000000;0.6875000000;-0.2500000000;-0.8750000000;-5.2500000000;-41.2500000000;-0.1002200000;-0.0164180000;0.0571290000;-0.9931640000
12;0.3600000000;-0.9200000000;9.6000000000;1.9375000000;-0.7500000000;-0.5000000000;-0.5000000000;-5.2500000000;-42.0625000000;-0.1001590000;-0.0166020000;0.0562740000;-0.9932250000
13;0.3400000000;-1.1000000000;9.7400000000;-3.6875000000;-1.0625000000;0.5625000000;-0.1875000000;-5.2500000000;-42.0625000000;-0.1000980000;-0.0168460000;0.0570070000;-0.9932250000
14;0.3800000000;-1.1700000000;9.7400000000;-0.3750000000;-1.1875000000;0.2500000000;-0.1875000000;-5.2500000000;-42.0625000000;-0.0999760000;-0.0172120000;0.0572510000;-0.9931640000
15;0.3000000000;-0.9100000000;9.5000000000;-3.8125000000;-1.6875000000;0.6875000000;-0.5000000000;-4.5625000000;-41.2500000000;-0.0999150000;-0.0174560000;0.0569460000;-0.9932250000
16;0.3800000000;-0.9700000000;9.5800000000;-2.8125000000;-2.0625000000;-0.1875000000;-0.1875000000;-4.1875000000;-40.8750000000;-0.0998540000;-0.0179440000;0.0571290000;-0.9931640000
17;0.4000000000;-1.1300000000;9.5800000000;6.1875000000;-0.1250000000;-0.1250000000;-0.8750000000;-5.0000000000;-41.6875000000;-0.0998540000;-0.0182500000;0.0563350000;-0.9932250000
18;0.3800000000;-0.7800000000;9.7000000000;2.1250000000;-0.2500000000;-1.0000000000;-0.1875000000;-5.6875000000;-42.0625000000;-0.1000980000;-0.0184940000;0.0556030000;-0.9932250000
19;0.3700000000;-1.1500000000;9.6900000000;-5.1250000000;-0.1875000000;0.1875000000;-0.1875000000;-5.6875000000;-42.0625000000;-0.1000980000;-0.0185550000;0.0569460000;-0.9931640000
20;0.3700000000;-1.1900000000;9.7100000000;2.3750000000;0.0000000000;-0.9375000000;-0.8750000000;-5.0000000000;-42.0625000000;-0.1001590000;-0.0186160000;0.0567630000;-0.9931640000
21;0.3400000000;-0.8200000000;9.6200000000;1.6250000000;-0.6875000000;-0.5625000000;-0.3750000000;-4.5625000000;-42.5000000000;-0.1003420000;-0.0189820000;0.0561520000;-0.9931640000
22;0.4800000000;-1.1900000000;9.7700000000;-2.5625000000;-0.5000000000;0.1875000000;0.2500000000;-5.0000000000;-42.0625000000;-0.1003420000;-0.0191040000;0.0568240000;-0.9931640000
23;0.4800000000;-1.2700000000;9.7100000000;-0.8750000000;-1.5000000000;0.0000000000;0.2500000000;-5.0000000000;-42.0625000000;-0.1002810000;-0.0195920000;0.0568850000;-0.9931640000
24;0.4600000000;-0.8700000000;9.6000000000;2.3125000000;-2.1250000000;-0.5000000000;-0.1875000000;-5.6875000000;-40.5000000000;-0.1004030000;-0.0200810000;0.0557250000;-0.9931640000
25;0.2900000000;-0.8900000000;9.5600000000;5.1250000000;1.0000000000;-1.1250000000;-0.5000000000;-5.2500000000;-41.6875000000;-0.1006470000;-0.0200810000;0.0546870000;-0.9932250000
26;0.4600000000;-0.9900000000;9.8200000000;0.8750000000;0.3750000000;-0.1250000000;-0.8750000000;-5.0000000000;-41.6875000000;-0.1006470000;-0.0202030000;0.0546260000;-0.9932250000
27;0.4500000000;-1.0600000000;9.5800000000;-0.6875000000;-1.1875000000;-0.0625000000;-0.7500000000;-5.6875000000;-41.6875000000;-0.1005860000;-0.0205080000;0.0547490000;-0.9932250000
28;0.4600000000;-1.0300000000;9.7500000000;1.5000000000;-0.8125000000;0.6250000000;-0.7500000000;-5.6875000000;-41.6875000000;-0.1005250000;-0.0206300000;0.0546260000;-0.9932250000
29;0.4200000000;-0.9100000000;9.6200000000;1.3125000000;-0.1250000000;-0.4375000000;-0.0625000000;-5.6875000000;-42.0625000000;-0.1005250000;-0.0209960000;0.0539550000;-0.9932250000
30;0.4600000000;-1.0500000000;9.5800000000;-0.5000000000;-1.3750000000;0.8125000000;-0.5000000000;-5.2500000000;-42.5000000000;-0.1003420000;-0.0213010000;0.0540770000;-0.9932860000
31;0.4000000000;-0.9400000000;9.7500000000;1.5625000000;-1.3125000000;-0.2500000000;-0.1875000000;-6.0000000000;-42.0625000000;-0.1002810000;-0.0217900000;0.0538330000;-0.9932860000
32;0.5500000000;-0.9400000000;9.6400000000;1.2500000000;-0.5625000000;0.8125000000;-0.1875000000;-5.6875000000;-41.6875000000;-0.1001590000;-0.0220340000;0.0536500000;-0.9932860000
33;0.3900000000;-1.1300000000;9.8100000000;2.5625000000;0.1250000000;-0.0625000000;-0.1875000000;-5.6875000000;-41.6875000000;-0.1001590000;-0.0220950000;0.0534060000;-0.9932860000
34;0.5700000000;-1.2200000000;9.7300000000;3.3750000000;-0.5625000000;-1.2500000000;-0.1875000000;-5.2500000000;-42.0625000000;-0.1004030000;-0.0225830000;0.0517580000;-0.9933470000
35;0.3800000000;-0.6800000000;9.5800000000;4.1875000000;-1.5000000000;-1.6250000000;-0.8750000000;-5.6875000000;-40.5000000000;-0.1008300000;-0.0229490000;0.0501710000;-0.9933470000
36;0.2900000000;-0.8600000000;9.9300000000;5.4375000000;-0.5625000000;-0.0625000000;-0.5000000000;-5.6875000000;-41.2500000000;-0.1008910000;-0.0234370000;0.0484620000;-0.9934690000
37;0.4400000000;-0.6400000000;10.1700000000;-2.3125000000;-4.3750000000;0.2500000000;-0.1875000000;-5.6875000000;-40.8750000000;-0.1008300000;-0.0242920000;0.0484620000;-0.9934080000
38;0.5200000000;-1.1200000000;10.1500000000;-6.0625000000;-8.1875000000;2.3750000000;-0.1875000000;-5.6875000000;-40.8750000000;-0.1002200000;-0.0261840000;0.0505980000;-0.9933470000
39;0.4600000000;-0.9400000000;10.7600000000;11.8125000000;-5.3125000000;0.8750000000;-0.8750000000;-5.2500000000;-42.5000000000;-0.0995480000;-0.0288700000;0.0490720000;-0.9934080000
40;1.0100000000;-1.2600000000;10.3900000000;2.5625000000;-20.4375000000;2.4375000000;-1.5625000000;-5.6875000000;-41.6875000000;-0.0984500000;-0.0330810000;0.0463260000;-0.9935300000
41;1.1700000000;-1.2000000000;9.5300000000;1.1250000000;-28.9375000000;-3.0625000000;-2.0000000000;-5.2500000000;-40.5000000000;-0.0983280000;-0.0426030000;0.0476070000;-0.9931030000
42;0.8600000000;-0.9400000000;8.8500000000;-4.7500000000;-20.3125000000;-5.6250000000;-2.3750000000;-6.3750000000;-41.1875000000;-0.0993650000;-0.0505980000;0.0490720000;-0.9925540000
43;1.0800000000;-0.7900000000;8.4100000000;-3.1875000000;-18.9375000000;-4.2500000000;-2.3750000000;-6.3750000000;-41.1875000000;-0.1008300000;-0.0570680000;0.0509030000;-0.9919430000
44;1.0700000000;-0.4600000000;8.4400000000;3.4375000000;-6.0000000000;-3.5000000000;-3.5000000000;-6.0000000000;-40.8750000000;-0.1018070000;-0.0607910000;0.0503540000;-0.9916990000
45;1.0800000000;-0.5100000000;9.0500000000;-0.1875000000;4.5625000000;-2.4375000000;-3.8750000000;-6.7500000000;-40.0625000000;-0.1028440000;-0.0607910000;0.0501100000;-0.9915770000
46;1.2300000000;-0.6000000000;9.8400000000;1.1250000000;6.5625000000;1.0625000000;-4.5625000000;-6.7500000000;-41.6875000000;-0.1030270000;-0.0587770000;0.0500490000;-0.9916990000
47;1.1300000000;-1.1700000000;10.7500000000;2.1250000000;4.0000000000;1.5000000000;-3.8750000000;-6.3750000000;-41.6875000000;-0.1023560000;-0.0569460000;0.0496220000;-0.9918820000
48;1.0700000000;-0.6800000000;11.8200000000;12.3125000000;-4.8750000000;-2.3750000000;-3.8750000000;-6.3750000000;-41.6875000000;-0.1026610000;-0.0571290000;0.0458980000;-0.9920040000
49;1.0100000000;-1.3900000000;12.5900000000;4.6250000000;-30.5625000000;2.2500000000;-2.3750000000;-6.3750000000;-40.5625000000;-0.1018680000;-0.0648190000;0.0446780000;-0.9916990000
50;1.3800000000;-0.9600000000;12.4500000000;17.1875000000;-56.8125000000;4.3125000000;-4.1875000000;-6.7500000000;-40.8750000000;-0.0979610000;-0.0806270000;0.0416870000;-0.9910280000
