time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;-9.4100000000;0.1200000000;-1.8600000000;-0.8125000000;1.8750000000;14.5000000000;39.5625000000;1.5000000000;-7.5000000000;0.4780880000;0.5144040000;0.5768430000;-0.4172970000
2;-9.5100000000;0.2100000000;-1.9100000000;-1.8125000000;-2.6250000000;6.8750000000;38.8750000000;1.1875000000;-7.7500000000;0.4777220000;0.5153810000;0.5760500000;-0.4176030000
3;-9.6800000000;0.2000000000;-1.7500000000;4.3125000000;0.1250000000;0.0000000000;38.8750000000;1.8750000000;-8.2500000000;0.4774780000;0.5157470000;0.5754390000;-0.4181520000
4;-9.6300000000;0.2200000000;-1.8600000000;0.5625000000;-1.2500000000;2.3750000000;39.2500000000;1.5000000000;-8.5625000000;0.4772340000;0.5159910000;0.5754390000;-0.4182130000
5;-9.4100000000;0.1800000000;-1.9400000000;-1.0625000000;4.3750000000;-10.4375000000;39.2500000000;1.5000000000;-8.5625000000;0.4763790000;0.5148930000;0.5767210000;-0.4187620000
6;-9.6000000000;0.2200000000;-1.8000000000;6.1875000000;1.7500000000;-13.0625000000;38.5000000000;1.1875000000;-7.8750000000;0.4754640000;0.5155640000;0.5765380000;-0.4191890000
7;-9.7100000000;0.0800000000;-1.7600000000;-2.0625000000;-0.5000000000;5.2500000000;39.5625000000;1.1875000000;-7.8750000000;0.4752200000;0.5156250000;0.5763550000;-0.4196780000
8;-9.5500000000;0.1000000000;-1.8400000000;-0.3125000000;7.0625000000;9.9375000000;39.5625000000;1.1875000000;-9.0625000000;0.4741210000;0.5164790000;0.5761110000;-0.4202270000
9;-9.6100000000;0.0400000000;-1.8100000000;15.0625000000;6.3750000000;-6.7500000000;38.5000000000;1.5000000000;-9.3750000000;0.4718630000;0.5179440000;0.5757450000;-0.4214480000
10;-9.5400000000;-0.0200000000;-1.8900000000;10.1250000000;4.8750000000;-3.2500000000;38.5000000000;1.5000000000;-9.3750000000;0.4702150000;0.5200810000;0.5747680000;-0.4219970000
11;-9.8400000000;0.2700000000;-1.8700000000;17.5625000000;-4.0000000000;19.0000000000;39.5625000000;1.1875000000;-8.2500000000;0.4683230000;0.5242920000;0.5714720000;-0.4233400000
12;-9.8100000000;0.2000000000;-2.6000000000;32.3125000000;2.0000000000;19.1250000000;39.2500000000;0.7500000000;-7.3750000000;0.4649050000;0.5311280000;0.5652470000;-0.4268800000
13;-9.2300000000;0.9700000000;-3.1200000000;5.3125000000;14.7500000000;7.0625000000;39.5625000000;1.0625000000;-8.2500000000;0.4619140000;0.5371090000;0.5621340000;-0.4268800000
14;-10.0700000000;0.8600000000;-4.4700000000;11.1250000000;15.2500000000;29.6250000000;39.5625000000;0.5000000000;-8.2500000000;0.4598390000;0.5452880000;0.5590210000;-0.4227290000
15;-9.6600000000;0.9200000000;-5.4300000000;5.4375000000;31.2500000000;31.8750000000;39.5625000000;0.5000000000;-8.2500000000;0.4566650000;0.5532840000;0.5587160000;-0.4161380000
16;-9.9300000000;0.9900000000;-5.8000000000;-4.3125000000;49.3125000000;25.3125000000;40.0000000000;-0.6875000000;-7.5000000000;0.4519650000;0.5646970000;0.5609130000;-0.4027710000
17;-10.2300000000;0.2900000000;-5.6500000000;15.6875000000;59.3750000000;15.3750000000;41.7500000000;-0.2500000000;-6.6875000000;0.4425660000;0.5780030000;0.5650020000;-0.3883670000
18;-10.5600000000;0.2500000000;-4.9800000000;23.8750000000;67.5625000000;2.5000000000;41.5000000000;-1.0000000000;-5.0625000000;0.4278560000;0.5915530000;0.5704350000;-0.3764040000
