time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;-9.1200000000;-0.3000000000;1.5000000000;-1.9375000000;-0.1250000000;1.1250000000;29.2500000000;7.0000000000;-13.6875000000;0.6358640000;0.3151860000;0.5819090000;-0.3972170000
2;-9.6200000000;-0.4800000000;1.1900000000;2.6875000000;7.8750000000;-0.5625000000;30.0625000000;7.6875000000;-14.0625000000;0.6343990000;0.3164670000;0.5831300000;-0.3966670000
3;-9.3400000000;-0.4200000000;1.2300000000;11.6250000000;2.6250000000;-2.9375000000;30.0625000000;7.0000000000;-14.0000000000;0.6320800000;0.3187870000;0.5827030000;-0.3991090000
4;-9.6800000000;0.0400000000;1.1800000000;2.3125000000;1.9375000000;-1.3750000000;29.2500000000;6.6875000000;-13.7500000000;0.6308590000;0.3209230000;0.5817870000;-0.4006960000
5;-9.6600000000;-0.5100000000;1.2400000000;-1.8125000000;-0.3750000000;-0.8750000000;29.0000000000;7.3750000000;-13.2500000000;0.6309810000;0.3203740000;0.5821530000;-0.4003910000
6;-9.2800000000;-0.3000000000;1.1300000000;4.1250000000;0.6875000000;-1.5000000000;29.0000000000;7.3750000000;-13.2500000000;0.6309200000;0.3200680000;0.5818480000;-0.4011230000
7;-9.5700000000;-0.1300000000;1.0200000000;-1.6250000000;3.0625000000;2.1875000000;29.0000000000;6.6875000000;-13.2500000000;0.6301270000;0.3211060000;0.5825810000;-0.4004520000
8;-9.3400000000;-0.8200000000;1.1000000000;-0.2500000000;8.6250000000;0.2500000000;28.5625000000;7.3750000000;-14.0625000000;0.6287840000;0.3218990000;0.5844730000;-0.3992310000
9;-9.8400000000;-0.2000000000;1.3600000000;10.1250000000;8.1875000000;0.1875000000;28.2500000000;7.0000000000;-13.2500000000;0.6259160000;0.3249510000;0.5851440000;-0.4002080000
10;-9.1200000000;-0.5900000000;0.9500000000;0.4375000000;4.6250000000;-3.6250000000;27.8750000000;7.3750000000;-14.0625000000;0.6248170000;0.3248290000;0.5861820000;-0.4006350000
11;-9.6800000000;-0.2000000000;1.0300000000;9.9375000000;8.1250000000;1.8750000000;27.8750000000;7.3750000000;-14.0625000000;0.6223750000;0.3277590000;0.5866700000;-0.4013670000
12;-9.5000000000;-0.4900000000;1.0500000000;-1.0625000000;-0.8750000000;0.5000000000;27.5000000000;7.0000000000;-12.5000000000;0.6219480000;0.3289790000;0.5864260000;-0.4013060000
