split,source_kind,original_subject,subject,exercise,sensor,folder_path,exists
training,original,s11,s11,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s11\e6\u2,True
training,original,s11,s11,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s11\e7\u2,True
training,original,s11,s11,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s11\e8\u2,True
training,original,s12,s12,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s12\e6\u2,True
training,original,s12,s12,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s12\e7\u2,True
training,original,s12,s12,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s12\e8\u2,True
training,original,s2,s2,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s2\e6\u2,True
training,original,s2,s2,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s2\e7\u2,True
training,original,s2,s2,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s2\e8\u2,True
training,original,s3,s3,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s3\e6\u2,True
training,original,s3,s3,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s3\e7\u2,True
training,original,s3,s3,e8,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s3\e8\u2,True
training,original,s4,s4,e6,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s4\e6\u2,True
training,original,s4,s4,e7,u2,D:\Personal\FAKULTHA\AC\anul4\LICENTA\Roxana\atnecilpp\exerc\physical+therapy+exercises+dataset\TVT\training\s4\e7\u2,True
