split,source_kind,original_subject,subject,exercise,exercise_label,quality_label,quality_name,source_file,template_file,samples,duration_seconds,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_rms,acc_x_median,acc_x_iqr,acc_x_mean_abs,acc_x_zero_crossings,acc_x_diff_mean_abs,acc_x_diff_std,acc_x_diff_rms,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_rms,acc_y_median,acc_y_iqr,acc_y_mean_abs,acc_y_zero_crossings,acc_y_diff_mean_abs,acc_y_diff_std,acc_y_diff_rms,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_rms,acc_z_median,acc_z_iqr,acc_z_mean_abs,acc_z_zero_crossings,acc_z_diff_mean_abs,acc_z_diff_std,acc_z_diff_rms,gyr_x_mean,gyr_x_std,gyr_x_min,gyr_x_max,gyr_x_range,gyr_x_rms,gyr_x_median,gyr_x_iqr,gyr_x_mean_abs,gyr_x_zero_crossings,gyr_x_diff_mean_abs,gyr_x_diff_std,gyr_x_diff_rms,gyr_y_mean,gyr_y_std,gyr_y_min,gyr_y_max,gyr_y_range,gyr_y_rms,gyr_y_median,gyr_y_iqr,gyr_y_mean_abs,gyr_y_zero_crossings,gyr_y_diff_mean_abs,gyr_y_diff_std,gyr_y_diff_rms,gyr_z_mean,gyr_z_std,gyr_z_min,gyr_z_max,gyr_z_range,gyr_z_rms,gyr_z_median,gyr_z_iqr,gyr_z_mean_abs,gyr_z_zero_crossings,gyr_z_diff_mean_abs,gyr_z_diff_std,gyr_z_diff_rms,duration_seconds,acc_energy,gyr_energy,acc_magnitude_mean,acc_magnitude_std,acc_magnitude_min,acc_magnitude_max,acc_magnitude_range,acc_magnitude_rms,acc_magnitude_median,acc_magnitude_iqr,gyr_magnitude_mean,gyr_magnitude_std,gyr_magnitude_min,gyr_magnitude_max,gyr_magnitude_range,gyr_magnitude_rms,gyr_magnitude_median,gyr_magnitude_iqr,acc_jerk_mean_abs,acc_jerk_std,acc_jerk_rms,gyr_jerk_mean_abs,gyr_jerk_std,gyr_jerk_rms,acc_corr_xy,acc_corr_xz,acc_corr_yz,gyr_corr_xy,gyr_corr_xz,gyr_corr_yz,acc_gyr_corr_x,acc_gyr_corr_y,acc_gyr_corr_z
training,original,s11,s11,e6,6,1,normal,ex6_long_bno055_20260616_183236_081602_reversed.txt,template_times_long.txt,1541,61.64,6.6517261518494495,3.6590517674327607,-0.09,10.11,10.2,7.591713945872215,9.27,7.33,6.651972744970798,4.0,0.24956493506493502,0.42909744750489964,0.429097890929331,0.12635301752109024,0.8129626737208664,-4.8,5.41,10.21,0.82272315750808,0.22,0.89,0.6097274497079819,263.0,0.4410974025974026,0.7955683782584223,0.7955686931086124,4.879682024659313,3.895451460266707,-2.27,15.16,17.43,6.243864087332237,2.59,7.569999999999999,4.892816353017521,24.0,0.6453701298701298,1.0987529026558336,1.0987529235515083,-0.45124918883841664,15.94143869085444,-112.4375,103.5,215.9375,15.947824094988578,0.0,5.1875,8.19005515898767,832.0,10.516680194805195,20.146880306592784,20.146880309903835,-0.17269630110317977,50.83003601223819,-181.375,186.625,368.0,50.83032938136291,0.125,5.25,25.966336794289422,548.0,7.920251623376624,14.048803984014027,14.04880438785039,-0.544005515898767,6.359269319265646,-56.25,45.8125,102.0625,6.382495458383158,0.0,2.5,3.270238481505516,662.0,3.2552353896103896,6.060086397447695,6.060086420414284,61.64,97.29683277092798,2878.7917266588256,9.821917159980963,0.9092722768233144,6.937304952213071,15.16845410712641,8.23114915491334,9.863915691596718,9.755024346458598,0.2102992038924203,29.025905372894474,45.125253948787936,0.13975424859373686,220.69255339725444,220.5527991486607,53.65437285682152,4.6443850507898246,32.89039154198809,22.811221847433277,27.291820947298305,35.56958437755785,377.0872099046615,507.73930083180574,632.4507581486903,0.39987237416510507,-0.9591234392163782,-0.4238610551783241,-0.3248924236585814,-0.4181089351155865,-0.03573480729328585,0.06075044156633892,0.053341165352182945,0.05123478365113513
training,original,s11,s11,e6,6,2,rapid,ex6_long_bno055_20260616_183236_081602_reversed.txt,template_times_long.txt,301,12.04,2.8947508305647838,3.4228183421021443,-4.54,9.67,14.21,4.482774562041501,1.62,5.890000000000001,3.319003322259136,40.0,1.0483333333333333,1.3813641808009935,1.381364542761975,-0.583156146179402,2.0487551537305055,-10.08,5.54,15.620000000000001,2.1301335100796193,-0.27,1.8800000000000001,1.4392358803986711,110.0,2.0048,3.103530837968623,3.103531322005091,7.224883720930233,7.564095359508738,-8.96,28.17,37.13,10.460137828379908,7.95,13.02,8.380365448504982,32.0,2.9010333333333334,4.069128464016179,4.069128612696663,-0.2902823920265781,47.18018248187733,-154.3125,175.8125,330.125,47.181075474075044,1.6875,48.625,33.653654485049834,155.0,48.896458333333335,71.5851972554552,71.58519736489404,-0.3176910299003322,155.3326227598837,-284.3125,295.9375,580.25,155.3329476352484,0.5625,282.875,132.60382059800665,40.0,39.780208333333334,52.86070021822227,52.86070026789751,-1.231935215946844,20.3720889471287,-46.5625,74.3125,120.875,20.409303575722845,-1.0,23.1875,15.28093853820598,91.0,12.412916666666666,17.30900007743242,17.309000097492632,12.04,134.0472199335548,26770.918176391195,10.608273582764536,4.638076274359327,3.3499104465642064,28.296999840972543,24.947089394408337,11.577876313623099,9.668009102188517,6.501232910301921,142.14985410563395,81.02059709813416,0.7856128181235335,325.6450689592889,324.85945614116537,163.6182085722466,153.4423369909687,127.76558541144166,101.05703323899829,85.7242818066464,132.51858910482457,1785.2630252514248,1396.162841512081,2266.3703910325335,0.4764816105468816,-0.9258495193509769,-0.5018224038327436,-0.24433615288614316,-0.4581255993425592,0.675012577470134,0.017895036347703723,-0.0626582220824306,0.12298465890636738
training,original,s11,s11,e6,6,3,amplitudine_mica,ex6_long_bno055_20260616_183236_081602_reversed.txt,template_times_long.txt,1501,60.04,5.011538974017322,2.8443720446572613,-0.13,8.4,8.530000000000001,5.762462600010721,6.86,5.77,5.0117121918720855,2.0,0.18766,0.3099013442299913,0.30990138216320795,-0.5307661558960693,0.6005524987414921,-4.71,1.43,6.14,0.8014836342616988,-0.45,0.6000000000000001,0.6138174550299801,231.0,0.3982666666666667,0.6408397406181638,0.6408400736533257,7.812045303131247,1.8979344677263583,3.03,15.16,12.13,8.039291452731309,7.07,2.9399999999999995,7.812045303131247,0.0,0.5278266666666667,0.8605373514005976,0.8605373515038922,-0.041430712858094604,13.997106486849106,-91.5625,107.5625,199.125,13.997167803100783,0.125,6.875,7.756953697534977,935.0,11.797291666666666,20.806041447796613,20.806041603041653,0.07611592271818787,34.703213468935495,-155.4375,121.125,276.5625,34.70329694285829,0.25,4.4375,16.712275149900066,556.0,5.757625,9.498688642221884,9.498688643044364,-0.08694203864090606,4.194788061160287,-30.5625,20.5,51.0625,4.195688953692338,0.125,1.9375,2.2604097268487675,603.0,1.9325833333333333,2.880382544761488,2.8803826424047667,60.04,98.47855829447035,1417.8433310084943,9.885909639491711,0.8644934321758602,6.416112530185237,15.162456924918205,8.746344394732969,9.92363634432814,9.870704128885638,0.314703560844638,20.25085181577244,31.74502058188214,0.31868871959954903,157.6120013474545,157.29331262785496,37.6542604629077,4.995701277098141,14.728287441862165,19.13368465140951,20.332897891358627,27.91996821273262,361.99821451588116,448.4311022828432,576.3099520286733,0.5485026145408025,-0.877361461926206,-0.5854772530060731,-0.09908486344738614,-0.31571903864608925,0.7589249226551493,0.015295575367743511,-0.04928549235813547,-0.056298272436122336
training,original,s11,s11,e6,6,1,normal,ex6_scrt_bno055_20260616_183236_081602_reversed.txt,template_times_scrt.txt,482,19.28,6.31941908713693,4.042012572672675,-2.71,9.94,12.649999999999999,7.501528060103123,9.2,7.615,6.404647302904564,9.0,0.2793347193347193,0.4467404734107797,0.44675685108533475,0.9225726141078837,0.8126300852882405,-2.04,4.23,6.2700000000000005,1.229433968872435,1.15,0.9649999999999999,1.0648547717842323,50.0,0.5145530145530145,0.9752568748621507,0.9752568828395869,4.740995850622406,4.09125434051966,-1.59,15.49,17.080000000000002,6.262220351795347,2.5199999999999996,8.295,4.765186721991701,6.0,0.592016632016632,0.9983551649952549,0.9983551961667239,-1.045902489626556,18.508147581768995,-99.0,95.4375,194.4375,18.537676200817312,0.1875,7.046875,10.1875,260.0,13.378118503118504,24.965266298210544,24.965284498550282,-0.5435684647302904,51.600676783618546,-155.4375,181.5,336.9375,51.60353971583073,0.40625,5.734375,28.005964730290458,168.0,7.6930873180873185,13.617558024015723,13.61755874065148,-0.3082209543568465,6.022477415341244,-28.25,28.375,56.625,6.030359390202213,0.0625,2.734375,3.3777230290456433,214.0,3.6021309771309773,6.265648241395867,6.265648289899737,19.28,96.99983485477179,3042.935984504668,9.811568599230988,0.8561287738163428,7.315879988080724,16.25097535534406,8.935095367263337,9.84884941781383,9.736113184123637,0.24939035545887656,31.694961661748543,45.148260096762954,0.4192627457812106,185.73590962708315,185.31664688130195,55.1628134208605,5.2780760316058695,47.91574035658051,23.333237139647768,28.243659029137724,36.63528668878177,438.96828667685264,580.7606186655962,727.9945418070507,0.5993672669591497,-0.9604806510909552,-0.5833982720695048,-0.3822917476513807,-0.279415596930617,-0.4087603071808088,0.020110609276569432,-0.032816540450920445,0.01080891555684078
training,original,s11,s11,e6,6,2,rapid,ex6_scrt_bno055_20260616_183236_081602_reversed.txt,template_times_scrt.txt,95,3.8,2.967157894736842,3.2927012309230066,-2.56,9.76,12.32,4.4323704006345235,2.52,5.3950000000000005,3.3065263157894735,16.0,1.0635106382978725,1.3800860459918183,1.3800890350556558,0.42673684210526314,2.1053592978048155,-7.04,5.52,12.559999999999999,2.148171805341267,0.35,1.93,1.5277894736842106,41.0,2.138936170212766,2.99245007423825,2.992466782908126,6.354315789473685,8.137272484022175,-10.12,24.4,34.519999999999996,10.324365967534227,8.1,13.059999999999999,8.56084210526316,6.0,2.687659574468085,3.4136704974672654,3.413674005051735,-1.0388157894736842,71.62469354379384,-184.0625,131.0,315.0625,71.63222643117301,5.0625,112.40625,59.420394736842105,31.0,54.39494680851064,72.91983817123564,72.9200494402763,-1.7019736842105264,168.43393193970851,-290.75,295.375,586.125,168.44253068358984,1.8125,319.90625,147.6782894736842,10.0,43.09375,58.48232055088379,58.48232330623684,1.882236842105263,28.95760834136342,-82.875,80.75,163.625,29.01871631174575,0.625,31.625,21.011184210526316,27.0,19.523271276595743,27.43127547495795,27.4313160954057,3.8,130.85308210526316,34346.147902960525,10.576577813786498,4.357646595833852,2.579244075305786,24.40174174111348,21.822497665807692,11.439103203715892,10.06639458793465,5.899191994750346,166.2221960478625,81.95321497041155,3.5194770563252717,313.10452153594014,309.58504447961485,185.32713752432622,174.66045184156602,106.81398672384177,100.10982096331874,63.6273889480925,118.61880490739895,1999.814273326155,1389.9598573149494,2435.4148584473264,0.33133290785297165,-0.9308414596722714,-0.3853172095012463,-0.48731956784124814,-0.44417609091004384,0.013462537237197628,-0.004736030122826282,-0.12944150963165602,0.09887197254625266
training,original,s11,s11,e6,6,3,amplitudine_mica,ex6_scrt_bno055_20260616_183236_081602_reversed.txt,template_times_scrt.txt,405,16.2,4.859506172839506,3.1011099172873084,-0.74,7.81,8.549999999999999,5.764692789990024,6.76,6.38,4.896592592592592,10.0,0.21532178217821782,0.35125904996084323,0.35125905083297027,0.19965432098765432,0.6595257398264868,-3.32,2.34,5.66,0.6890834850602037,0.18,0.84,0.5270617283950617,96.0,0.4203960396039604,0.7461686571645919,0.7461687622664046,7.752469135802469,2.072672117301124,3.21,14.13,10.920000000000002,8.024758401809203,7.01,3.21,7.752469135802469,0.0,0.5451485148514852,0.9118772992037133,0.9118773475800915,-0.04645061728395062,16.907133127657296,-107.4375,86.625,194.0625,16.90719693669453,0.625,6.5,9.120216049382716,236.0,14.114170792079207,25.107668680456072,25.107673835442824,0.1300925925925926,39.26535074597436,-142.9375,138.0625,281.0,39.26556625450647,0.0,5.4375,20.077623456790125,121.0,6.522122524752476,11.069122011835352,11.06913057499379,-0.05941358024691358,3.786464955984935,-20.25,19.5,39.75,3.786931057785414,0.125,2.0625,2.18070987654321,138.0,2.217512376237624,3.8339080515209805,3.8339081014606418,16.2,98.10326641975308,1841.9788483796297,9.855639267520344,0.9847035331835424,6.934652118167139,14.49031745683993,7.555665338672791,9.904709305161514,9.831500394141273,0.34980104239007836,23.93587038755526,35.62376955306366,0.23385358667337133,175.43654256952854,175.20268898285516,42.9182810510816,5.349138365194903,25.247015201089802,20.176148264120606,23.18873521727087,30.737508027692733,423.6698332361233,547.9655465291413,692.6488055120756,0.5021547108138887,-0.8803925779751177,-0.479109370679584,-0.26291236558151704,-0.10913635087246777,-0.15861378142925905,0.03253048813004948,-0.044878292992319664,0.11113054599335755
training,original,s11,s11,e7,7,1,normal,ex7_long_bno055_20260616_184508_892753_reversed.txt,template_times_long.txt,1995,79.8,-4.9972832080200495,4.133095090250934,-13.53,1.21,14.739999999999998,6.485006899473241,-2.17,7.95,5.001423558897243,20.0,0.2890872617853561,0.4996858510352292,0.49968585918917185,-0.039629072681704264,1.5750396940558422,-3.64,3.41,7.050000000000001,1.5755381624235996,-0.42,2.625,1.3592280701754385,138.0,0.4295937813440321,0.632996045032847,0.6329962898064461,-6.530150375939851,3.468863562245898,-11.12,-0.05,11.069999999999999,7.394313919889029,-8.68,6.135000000000001,6.530150375939851,0.0,0.4575025075225677,0.7241493134283699,0.7241493470483084,0.1836466165413534,17.93709438734668,-117.1875,92.4375,209.625,17.93803448375409,-0.0625,8.9375,10.6953007518797,902.0,11.362713139418254,17.851389594690684,17.85138969375339,0.47597117794486216,46.658301705335475,-170.0,186.625,356.625,46.66072938337276,-1.125,5.6875,21.970645363408522,573.0,6.3345975426278835,11.00838972734457,11.008389788433059,-2.236810776942356,15.591310557716984,-92.625,68.25,160.875,15.750945602059025,-0.0625,3.6875,7.692324561403509,732.0,4.207622868605817,7.0072081237920365,7.007208214645129,79.8,99.21351333333332,2747.0890350877194,9.830780008213948,1.6028966789641512,2.7400182481144175,16.19222344213419,13.452205194019772,9.960598040947808,9.729532362863079,0.3425035769219118,28.74859256471386,43.82473571666803,0.3365728004459065,192.5367456811816,192.2001728807357,52.41268009830941,7.082935037821539,29.15798779726446,19.702945596347057,18.601626833032967,27.096615766697216,381.90375614853986,399.6850012503055,552.8097133596876,0.5288254799140201,-0.7754619799995295,-0.6074309382550892,0.29952680756791844,0.14632997436060655,0.6961673969683349,-0.297085829731465,-0.16360396980461858,-0.03813686643697129
training,original,s11,s11,e7,7,2,rapid,ex7_long_bno055_20260616_184508_892753_reversed.txt,template_times_long.txt,476,19.04,-8.287731092436974,5.267801821303556,-16.95,3.01,19.96,9.820194636007763,-10.075,8.87,8.582773109243698,22.0,1.1086526315789473,1.4547385476416235,1.4547408523061491,1.0564495798319329,2.0205154200312,-6.61,6.74,13.350000000000001,2.2800369026204215,0.88,2.505,1.7386344537815126,96.0,1.2044842105263158,1.6297608798995542,1.6297618166306904,-4.999810924369748,2.6634787556685082,-11.93,2.42,14.35,5.665000296676474,-5.035,3.4124999999999996,5.043046218487396,16.0,1.321557894736842,1.7394676741674977,1.7394860705029185,-1.6348476890756303,58.451550993453985,-164.5625,257.9375,422.5,58.474409278818946,0.0625,80.453125,45.83889180672269,133.0,40.19578947368421,53.755117825346616,53.75511924826078,1.40953256302521,116.56519676371929,-234.25,216.125,450.375,116.57371864451618,-1.96875,194.3125,97.24067752100841,36.0,21.565394736842105,28.965154850841742,28.96517489862429,-3.685136554621849,44.36915936450053,-115.3125,137.8125,253.125,44.52193318060948,-3.75,64.390625,36.32878151260504,47.0,14.932236842105263,21.684724814257688,21.684727564336004,19.04,133.72701932773109,18990.8909532563,10.667626708781102,4.464163945223245,1.408864791241516,19.39376446180576,17.984899670564243,11.56403992243762,10.918831385285678,8.42827517086418,122.51034813516688,63.10392660569163,2.240431041116865,298.8415785370235,296.6011474959066,137.80744157430794,127.4287717244608,103.78016711069475,60.66853339975684,34.54284299954204,69.81317173262092,1326.3761797250224,930.0482445870059,1619.957872106962,-0.42572687892885164,0.41415660746913907,-0.41855683520764725,0.5459605937769342,0.5824963776502255,0.8510171655333386,-0.09004220204135252,-0.26325285341566285,0.0675679503601879
training,original,s11,s11,e7,7,3,amplitudine_mica,ex7_long_bno055_20260616_184508_892753_reversed.txt,template_times_long.txt,1817,72.68,-7.34053384700055,2.313382923675009,-17.08,-3.02,14.059999999999999,7.696439287781839,-6.47,4.17,7.34053384700055,0.0,0.26973017621145373,0.483862942388618,0.4838630003251958,-0.9385085305448542,0.9462272384877924,-6.03,2.78,8.81,1.3327206191703103,-0.97,1.02,1.1799724821133735,104.0,0.38437775330396473,0.5965346022811999,0.5965353806375804,-5.583819482663731,3.201080504562877,-11.94,4.8,16.74,6.436299900693534,-7.31,6.169999999999999,5.632272977435333,48.0,0.5485627753303965,0.921651126161658,0.9216516071824681,0.15268987341772153,17.04723670704937,-131.0625,113.0,244.0625,17.047920504965287,-0.0625,6.9375,9.047571546505228,889.0,10.221159140969164,18.041687592825728,18.04168770325321,0.1328769950467804,42.905513892440275,-188.5625,238.4375,427.0,42.905719649834545,-0.5,3.875,17.22636901485966,762.0,6.676177037444934,13.068944714767664,13.068944714812979,-0.6342528893780958,10.364509633188622,-62.375,73.0625,135.4375,10.3838979513545,-0.1875,2.6875,4.690114199229499,679.0,3.216203193832599,6.01162753086408,6.011627537169097,72.68,102.43727837094112,2239.357708877958,10.012610707440373,1.478142480341973,4.237463864152708,18.43301657352914,14.195552709376432,10.12113029117505,9.818064982469815,0.2802490548732166,22.311958418032365,41.73169323703452,0.22534695471649932,247.57733166881414,247.35198471409765,47.32185233988583,5.039298686325311,12.466164420127473,20.358435925544,22.02660446941069,29.993953020339678,356.6511150517244,453.4034132246254,576.8662522555629,0.34431404176025215,-0.592685633095516,-0.48310351251649253,0.3322626548074645,0.2695577274247753,0.6713441674010422,-0.19859536747166728,-0.018358262948892,-0.05908616999178978
training,original,s11,s11,e7,7,1,normal,ex7_scrt_bno055_20260616_184030_561451_reversed.txt,template_times_scrt.txt,531,21.24,-4.214802259887006,4.264279711519167,-11.83,0.98,12.81,5.995718434685088,-1.17,8.870000000000001,4.232956685499058,16.0,0.23330188679245284,0.3868325432513841,0.38683256579851727,-0.9502259887005651,1.2324698251207054,-4.16,2.27,6.43,1.556249112268029,-1.41,1.9349999999999998,1.3854425612052732,55.0,0.3818301886792453,0.5974278857533228,0.5974339783528939,-7.00030131826742,2.9489600937032674,-11.25,-0.45,10.8,7.5960900587598985,-8.37,4.094999999999999,7.00030131826742,0.0,0.39783018867924524,0.6197538243341374,0.6197581695139204,-0.04107815442561205,22.308664057325604,-107.375,92.875,200.25,22.308701877011632,-0.8125,9.28125,13.150070621468927,234.0,11.382429245283019,18.557460280749034,18.557479587591306,0.3373352165725047,43.387794027612706,-124.875,124.125,249.0,43.38910537947153,-0.25,6.65625,24.240819209039547,123.0,5.507783018867925,9.368512395694259,9.368512692565172,-0.8405131826741996,8.897274723872883,-31.625,50.3125,81.9375,8.936887597050575,-0.3125,4.375,5.31885593220339,168.0,3.35436320754717,5.6048137219299115,5.604813752943864,21.24,96.07113502824858,2460.1606049905836,9.735406992652495,1.1370952975285233,5.259790870367376,13.807602978069728,8.547812107702352,9.8015883931253,9.671039240950272,0.4477768152744268,30.429917927438478,39.16861881557661,0.5077524002897476,142.25348743528224,141.7457350349925,49.600006098695026,8.092000293499748,47.39858578111779,17.264356060811803,16.081320624036383,23.593788657346813,364.09765239894756,396.43383365633326,538.2628400232381,-0.8178721758369853,-0.8530958704996618,0.734253928852078,0.6274023309885962,-0.13263398961547013,-0.29309182195225886,-0.07849858767311527,-0.12901143009939306,-0.03965896949780868
